epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,103.211,1.20849,4.07523,0.00724,0.0945,0.06815,0.04195,0.01427,2.10874,4.63049,0.01847,0.00998415,0.00332805,0.00998415,0.00332805,0.00998415,0.00332805,0.00998415,0.00332805
2,191.169,1.1774,2.07799,0.00683,0.22316,0.11302,0.07719,0.02923,2.30888,4.01293,0.02177,0.0199446,0.00664819,0.0199446,0.00664819,0.0199446,0.00664819,0.0199446,0.00664819
3,276.933,1.25041,1.79976,0.00764,0.24024,0.15546,0.11055,0.04072,2.20692,3.50886,0.01999,0.0298654,0.00995514,0.0298654,0.00995514,0.0298654,0.00995514,0.0298654,0.00995514
4,363.741,1.29869,1.74355,0.0082,0.24367,0.19675,0.13049,0.04313,2.28843,3.43311,0.02109,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,448.805,1.26794,1.62436,0.00793,0.28001,0.18997,0.13272,0.05099,2.36013,3.36874,0.02242,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,534.032,1.23075,1.51455,0.00755,0.35582,0.2263,0.19356,0.06807,2.27609,3.21856,0.02089,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,618.852,1.21427,1.45029,0.00746,0.31189,0.26419,0.18824,0.07034,2.21629,3.04072,0.0202,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,703.644,1.19607,1.38855,0.00732,0.29858,0.25569,0.19258,0.07468,2.21484,3.12399,0.02061,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,788.621,1.19172,1.35447,0.00717,0.35116,0.28804,0.24617,0.09829,2.13545,2.90696,0.02031,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,874.096,1.1721,1.29534,0.00706,0.46711,0.31265,0.2767,0.10637,2.1636,2.75593,0.01975,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,959.603,1.15913,1.25629,0.00691,0.47227,0.31836,0.28683,0.11062,2.15835,2.72099,0.01962,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,1044.89,1.14152,1.22503,0.00684,0.44703,0.39124,0.33981,0.13773,2.11118,2.53565,0.01849,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,1130.21,1.13392,1.17884,0.0066,0.49076,0.36152,0.34555,0.14247,2.05787,2.51361,0.01822,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,1215.78,1.14463,1.15173,0.00673,0.46888,0.37469,0.34507,0.15069,2.05024,2.4851,0.01771,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,1301.15,1.10499,1.12936,0.00658,0.44515,0.38288,0.3401,0.14159,2.11176,2.45531,0.0185,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,1386.58,1.1124,1.09683,0.00652,0.52632,0.39878,0.38195,0.14899,2.07069,2.36736,0.01797,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
