epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.1271,1.25634,1.07004,0.00744,0.86375,0.78408,0.86073,0.57904,1.19723,0.68078,0.00858,0.00994186,0.00331395,0.00994186,0.00331395,0.00994186,0.00331395,0.00994186,0.00331395
2,88.9564,1.02132,0.53365,0.00477,0.86663,0.77215,0.85066,0.57709,1.21458,0.68216,0.00908,0.0199024,0.00663413,0.0199024,0.00663413,0.0199024,0.00663413,0.0199024,0.00663413
3,127.368,1.04406,0.56,0.00544,0.87629,0.74685,0.83491,0.55121,1.2791,0.73375,0.00944,0.0298233,0.0099411,0.0298233,0.0099411,0.0298233,0.0099411,0.0298233,0.0099411
4,164.184,1.18199,0.62625,0.006,0.84804,0.73682,0.81601,0.517,1.37535,0.78839,0.01101,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,202.88,1.2171,0.67563,0.00645,0.8346,0.73627,0.81218,0.51138,1.38398,0.8188,0.01088,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,242.208,1.23933,0.69577,0.0066,0.82509,0.72724,0.79183,0.50479,1.406,0.84682,0.0115,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,281.252,1.26279,0.69379,0.0066,0.8312,0.72568,0.80131,0.49458,1.43485,0.7896,0.01173,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,318.766,1.25486,0.72879,0.00687,0.86194,0.70971,0.81346,0.51907,1.3774,0.74246,0.01091,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,357.328,1.27349,0.72061,0.00659,0.82265,0.74889,0.81441,0.50136,1.38919,0.76556,0.01085,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,393.489,1.25238,0.70792,0.00702,0.81813,0.71291,0.79826,0.50825,1.35101,0.79189,0.01036,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,429.657,1.24077,0.68531,0.00674,0.83138,0.74431,0.81539,0.52174,1.34428,0.74227,0.01043,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,466.608,1.27653,0.7151,0.00656,0.84951,0.73254,0.81696,0.51307,1.38241,0.7517,0.01079,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,503.101,1.26278,0.69594,0.00675,0.81925,0.72893,0.80244,0.51024,1.36714,0.8251,0.01067,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,535.308,1.28283,0.70766,0.00662,0.82053,0.75187,0.8177,0.5156,1.36306,0.75855,0.01073,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,569.361,1.26454,0.69884,0.00678,0.81757,0.74042,0.80559,0.51225,1.36362,0.79226,0.01065,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,607.889,1.26247,0.72149,0.00689,0.84458,0.74261,0.82555,0.52985,1.33639,0.7272,0.01051,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,647.562,1.25505,0.7066,0.00681,0.83883,0.71657,0.80005,0.50755,1.38366,0.82217,0.01101,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,683.68,1.28073,0.72893,0.00682,0.86822,0.70233,0.82022,0.53054,1.31478,0.73053,0.01049,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,719.387,1.25468,0.71438,0.00688,0.87053,0.71444,0.8211,0.51672,1.36359,0.7598,0.01033,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,754.97,1.26849,0.6938,0.0066,0.84105,0.74974,0.8248,0.52536,1.33495,0.75202,0.01013,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,793.236,1.2771,0.71991,0.00682,0.85533,0.71183,0.80461,0.52555,1.30842,0.82465,0.01013,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,829.532,1.2376,0.70372,0.00674,0.84369,0.74459,0.83026,0.5282,1.34712,0.7195,0.01046,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,865.783,1.27034,0.71955,0.00655,0.84399,0.73172,0.80572,0.52538,1.33744,0.77101,0.01024,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,899.224,1.24861,0.7045,0.00669,0.84705,0.7184,0.81192,0.52241,1.33285,0.78194,0.01032,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,932.699,1.28092,0.70167,0.00655,0.82758,0.69695,0.76669,0.46876,1.46393,0.93133,0.01202,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,964.846,1.23604,0.69142,0.00667,0.84081,0.73076,0.8078,0.52689,1.33407,0.81017,0.01067,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,997.413,1.22526,0.68723,0.00664,0.8504,0.72814,0.81661,0.52521,1.31792,0.73893,0.01001,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
