epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1111,2.88157,4.07252,0.02655,0.29959,0.25558,0.18709,0.06246,2.29864,3.37052,0.02778,0.00331361,0.00331361,0.0701775
2,80.9905,2.0406,2.25719,0.01782,0.42477,0.42188,0.34554,0.15719,1.9031,2.86042,0.02123,0.00663378,0.00663378,0.0401644
3,116.546,1.85127,1.79051,0.01515,0.54382,0.5295,0.50285,0.24374,1.72199,2.06943,0.01737,0.00994075,0.00994075,0.010138
4,152.102,1.66531,1.56274,0.01312,0.60123,0.5576,0.57929,0.2911,1.64468,1.87192,0.01641,0.0099406,0.0099406,0.0099406
5,188.209,1.58047,1.36494,0.01151,0.62521,0.53073,0.56431,0.2956,1.67056,1.74687,0.01523,0.0099208,0.0099208,0.0099208
6,223.862,1.53237,1.25962,0.01106,0.69361,0.61682,0.68258,0.39535,1.50623,1.39116,0.01382,0.009901,0.009901,0.009901
7,259.861,1.48109,1.14178,0.00979,0.7048,0.62472,0.69633,0.37428,1.51775,1.32068,0.01392,0.0098812,0.0098812,0.0098812
8,295.538,1.44265,1.0914,0.01022,0.73189,0.68024,0.73067,0.41762,1.43896,1.22706,0.01345,0.0098614,0.0098614,0.0098614
9,331.156,1.4392,1.03461,0.01001,0.71933,0.67405,0.72824,0.43631,1.42958,1.14629,0.01242,0.0098416,0.0098416,0.0098416
10,366.791,1.40223,0.98302,0.00941,0.73208,0.66133,0.72914,0.43012,1.4627,1.12567,0.01328,0.0098218,0.0098218,0.0098218
11,402.575,1.38963,0.97796,0.00945,0.76823,0.70853,0.76314,0.45801,1.39403,1.02408,0.0124,0.009802,0.009802,0.009802
12,438.231,1.39784,0.94699,0.0093,0.7536,0.71545,0.76467,0.45299,1.44,1.01453,0.01311,0.0097822,0.0097822,0.0097822
13,473.909,1.39177,0.93463,0.00949,0.7445,0.7338,0.77364,0.46055,1.43757,0.96513,0.01239,0.0097624,0.0097624,0.0097624
14,509.632,1.36641,0.88496,0.00888,0.79446,0.7131,0.79267,0.46125,1.41609,0.9415,0.01227,0.0097426,0.0097426,0.0097426
15,546.14,1.3668,0.88829,0.00858,0.75863,0.72817,0.78716,0.46422,1.46158,0.93022,0.01281,0.0097228,0.0097228,0.0097228
