epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5999,2.96762,4.36037,0.02742,0.1976,0.1758,0.14322,0.04941,2.20966,3.4203,0.02583,0.00331361,0.00331361,0.0701775
2,61.9199,1.99453,2.29029,0.01715,0.42418,0.48776,0.4307,0.19516,1.83023,2.61105,0.02076,0.00663378,0.00663378,0.0401644
3,87.0937,1.7749,1.77304,0.01431,0.54585,0.51412,0.52689,0.26426,1.63137,1.99069,0.0167,0.00994075,0.00994075,0.010138
4,113.489,1.59944,1.53021,0.01261,0.61787,0.588,0.63409,0.33666,1.61836,1.72949,0.01644,0.0099406,0.0099406,0.0099406
5,138.75,1.5378,1.34676,0.01116,0.58937,0.58735,0.57501,0.3047,1.53771,1.70667,0.01506,0.0099208,0.0099208,0.0099208
6,163.328,1.49027,1.25486,0.01067,0.70031,0.62767,0.69502,0.39442,1.47814,1.29035,0.01457,0.009901,0.009901,0.009901
7,188.129,1.45607,1.13294,0.0096,0.68801,0.64568,0.69594,0.40347,1.42269,1.21459,0.01309,0.0098812,0.0098812,0.0098812
8,213.474,1.4217,1.0678,0.01025,0.73821,0.68718,0.75184,0.44109,1.43571,1.17732,0.01277,0.0098614,0.0098614,0.0098614
9,239.928,1.41053,1.02496,0.00985,0.70487,0.69367,0.72884,0.43594,1.42344,1.14072,0.01226,0.0098416,0.0098416,0.0098416
10,267.182,1.39335,0.96385,0.00939,0.77229,0.666,0.74632,0.437,1.47072,1.07673,0.01334,0.0098218,0.0098218,0.0098218
11,293.759,1.38946,0.9608,0.00935,0.73915,0.72642,0.77144,0.45645,1.38791,1.04177,0.01264,0.009802,0.009802,0.009802
12,318.586,1.38206,0.94261,0.00909,0.76409,0.72652,0.78774,0.45428,1.47763,0.94396,0.01371,0.0097822,0.0097822,0.0097822
13,343.404,1.36942,0.9206,0.00941,0.77305,0.69456,0.78462,0.46737,1.44134,0.96964,0.01251,0.0097624,0.0097624,0.0097624
14,372.6,1.35257,0.87574,0.00882,0.79271,0.72788,0.7879,0.4663,1.38097,0.88056,0.01215,0.0097426,0.0097426,0.0097426
15,402.135,1.34458,0.87399,0.00844,0.77901,0.73575,0.79434,0.46227,1.43169,0.91581,0.01321,0.0097228,0.0097228,0.0097228
16,429.87,1.38292,0.86303,0.0086,0.80018,0.71833,0.79686,0.49053,1.3866,0.87143,0.01199,0.009703,0.009703,0.009703
17,458.649,1.36538,0.87321,0.00857,0.80766,0.72993,0.80472,0.47832,1.4024,0.85709,0.01214,0.0096832,0.0096832,0.0096832
18,487.733,1.33774,0.82689,0.00845,0.83403,0.73351,0.81905,0.49375,1.3928,0.80826,0.01169,0.0096634,0.0096634,0.0096634
19,515.863,1.36477,0.84035,0.00856,0.81744,0.71992,0.80336,0.48899,1.35539,0.83683,0.01155,0.0096436,0.0096436,0.0096436
