epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9845,3.17465,5.42893,0.02844,0.08026,0.11565,0.0506,0.01566,2.40395,3.68062,0.02777,0.00331395,0.00331395,0.0701744
2,103.636,2.17547,2.71214,0.0179,0.32692,0.39068,0.29416,0.12699,1.8788,2.26989,0.02004,0.00663413,0.00663413,0.0401613
3,153.649,1.80004,2.04558,0.01458,0.55969,0.45822,0.49568,0.22307,1.83259,1.85077,0.01932,0.0099411,0.0099411,0.0101349
4,203.549,1.65086,1.77308,0.01208,0.58289,0.56301,0.59041,0.30517,1.64761,1.59401,0.01624,0.0099406,0.0099406,0.0099406
5,253.101,1.55003,1.56588,0.01112,0.62619,0.57959,0.62578,0.32717,1.62433,1.38194,0.01579,0.0099208,0.0099208,0.0099208
6,302.693,1.47781,1.42633,0.01027,0.67647,0.60238,0.65305,0.37062,1.53226,1.31235,0.01495,0.009901,0.009901,0.009901
7,352.268,1.46429,1.33525,0.00979,0.65619,0.63486,0.67537,0.38446,1.47972,1.27342,0.014,0.0098812,0.0098812,0.0098812
8,401.456,1.43209,1.29025,0.00974,0.67336,0.62437,0.67945,0.39072,1.49818,1.30334,0.01434,0.0098614,0.0098614,0.0098614
9,450.719,1.41657,1.21266,0.00914,0.68633,0.626,0.68643,0.38389,1.48098,1.20305,0.01385,0.0098416,0.0098416,0.0098416
10,500.531,1.38878,1.17441,0.00962,0.6685,0.64914,0.68768,0.40275,1.4586,1.19422,0.01334,0.0098218,0.0098218,0.0098218
11,550.467,1.36284,1.1214,0.00915,0.73461,0.61958,0.70821,0.42284,1.4475,1.09605,0.01336,0.009802,0.009802,0.009802
12,600.511,1.38102,1.12704,0.00863,0.74989,0.65469,0.72762,0.43493,1.44858,1.12316,0.01351,0.0097822,0.0097822,0.0097822
13,650.552,1.36604,1.06824,0.00878,0.74152,0.64733,0.7355,0.43389,1.4014,1.06979,0.01284,0.0097624,0.0097624,0.0097624
14,700.043,1.36779,1.05905,0.00847,0.75122,0.64797,0.73424,0.45138,1.40953,1.06008,0.01299,0.0097426,0.0097426,0.0097426
15,749.9,1.34706,1.03149,0.00867,0.73832,0.67397,0.7538,0.4635,1.36219,1.00247,0.01261,0.0097228,0.0097228,0.0097228
16,799.095,1.33525,1.02223,0.00858,0.77861,0.69092,0.76835,0.46173,1.39012,0.97279,0.01296,0.009703,0.009703,0.009703
17,849.314,1.33917,1.0084,0.00853,0.75509,0.66404,0.7503,0.456,1.392,0.9926,0.01277,0.0096832,0.0096832,0.0096832
18,899.343,1.34816,1.01857,0.00837,0.76748,0.68394,0.74904,0.45783,1.40822,0.98661,0.01272,0.0096634,0.0096634,0.0096634
19,948.815,1.33658,0.97395,0.0086,0.752,0.69663,0.76454,0.46732,1.38581,0.98537,0.01223,0.0096436,0.0096436,0.0096436
20,998.81,1.35127,0.97121,0.00828,0.7592,0.68616,0.76654,0.4644,1.39568,0.98224,0.01264,0.0096238,0.0096238,0.0096238
21,1048.6,1.34764,0.96864,0.00839,0.76496,0.71218,0.76895,0.4624,1.40986,0.94468,0.0127,0.009604,0.009604,0.009604
22,1099.37,1.31609,0.9543,0.0083,0.7757,0.66963,0.76712,0.46553,1.3967,0.9848,0.01222,0.0095842,0.0095842,0.0095842
23,1148.65,1.33558,0.95773,0.008,0.76226,0.68646,0.76227,0.47569,1.36837,0.96044,0.01175,0.0095644,0.0095644,0.0095644
24,1199.11,1.3186,0.94288,0.00814,0.75555,0.70467,0.77899,0.48489,1.34862,0.88088,0.01134,0.0095446,0.0095446,0.0095446
25,1248.72,1.34273,0.94473,0.00784,0.75451,0.6973,0.77467,0.46868,1.37522,0.93892,0.01207,0.0095248,0.0095248,0.0095248
26,1298.25,1.30039,0.92074,0.00798,0.79636,0.71205,0.7941,0.49225,1.35448,0.8613,0.01173,0.009505,0.009505,0.009505
27,1348.35,1.28726,0.90284,0.00792,0.7849,0.70671,0.78626,0.49387,1.32234,0.89825,0.01147,0.0094852,0.0094852,0.0094852
28,1398.07,1.339,0.9103,0.00781,0.76922,0.6997,0.76068,0.46053,1.38179,0.93893,0.01157,0.0094654,0.0094654,0.0094654
29,1447.89,1.29045,0.87934,0.00776,0.78606,0.73487,0.79824,0.48979,1.35743,0.86619,0.01183,0.0094456,0.0094456,0.0094456
30,1497.3,1.29185,0.86728,0.00778,0.80265,0.69847,0.78479,0.47675,1.36506,0.9203,0.0119,0.0094258,0.0094258,0.0094258
31,1547.44,1.29566,0.87156,0.00783,0.81865,0.69609,0.78225,0.47623,1.38979,0.8955,0.01164,0.009406,0.009406,0.009406
32,1597.25,1.29215,0.85412,0.00768,0.80952,0.75018,0.81652,0.50286,1.3352,0.79648,0.01133,0.0093862,0.0093862,0.0093862
33,1647.13,1.30436,0.87585,0.00765,0.79966,0.70144,0.78686,0.49805,1.33721,0.87852,0.01106,0.0093664,0.0093664,0.0093664
34,1697,1.31727,0.87642,0.0076,0.76329,0.72247,0.78539,0.49203,1.34556,0.89083,0.01151,0.0093466,0.0093466,0.0093466
35,1746.6,1.29533,0.85244,0.00738,0.80264,0.71855,0.79108,0.48767,1.35428,0.87243,0.01132,0.0093268,0.0093268,0.0093268
36,1796.34,1.29933,0.87886,0.00762,0.80526,0.73884,0.81355,0.50359,1.33341,0.82976,0.01147,0.009307,0.009307,0.009307
37,1845.72,1.28117,0.85471,0.00732,0.82087,0.7373,0.81202,0.50387,1.35555,0.85048,0.01128,0.0092872,0.0092872,0.0092872
38,1895.75,1.28197,0.86629,0.00738,0.77292,0.73283,0.79376,0.50373,1.35102,0.90275,0.01185,0.0092674,0.0092674,0.0092674
39,1948.43,1.28876,0.86278,0.0075,0.79871,0.72227,0.80305,0.50341,1.34422,0.85388,0.01154,0.0092476,0.0092476,0.0092476
40,1999.88,1.30166,0.86803,0.00745,0.79314,0.72877,0.8062,0.5004,1.34075,0.85197,0.01151,0.0092278,0.0092278,0.0092278
41,2051.18,1.29909,0.84822,0.00736,0.7968,0.71995,0.80166,0.50143,1.32809,0.84258,0.01076,0.009208,0.009208,0.009208
42,2102.24,1.25255,0.81088,0.00731,0.82476,0.70449,0.79933,0.51659,1.30166,0.84517,0.01073,0.0091882,0.0091882,0.0091882
43,2153.58,1.25221,0.82319,0.00754,0.83846,0.71692,0.81279,0.50767,1.33233,0.8535,0.01131,0.0091684,0.0091684,0.0091684
44,2204.06,1.28606,0.83389,0.00729,0.81359,0.732,0.81832,0.51297,1.31246,0.85729,0.01107,0.0091486,0.0091486,0.0091486
45,2253.56,1.26992,0.824,0.00734,0.80267,0.72481,0.79269,0.49587,1.33097,0.89418,0.01109,0.0091288,0.0091288,0.0091288
46,2303.76,1.26084,0.81478,0.00723,0.82607,0.72473,0.80957,0.51581,1.30565,0.84019,0.01125,0.009109,0.009109,0.009109
47,2353.77,1.23471,0.79248,0.00725,0.81057,0.73388,0.81346,0.52267,1.28886,0.80853,0.01062,0.0090892,0.0090892,0.0090892
48,2403.54,1.2385,0.80985,0.00728,0.82365,0.72335,0.81076,0.51373,1.31598,0.86187,0.011,0.0090694,0.0090694,0.0090694
49,2454.16,1.24693,0.81425,0.0072,0.82178,0.72204,0.81729,0.51697,1.32402,0.82221,0.0112,0.0090496,0.0090496,0.0090496
50,2504.89,1.26379,0.81529,0.0072,0.81063,0.73252,0.81367,0.52309,1.30308,0.81859,0.0108,0.0090298,0.0090298,0.0090298
51,2555.7,1.26899,0.8141,0.00734,0.81094,0.72025,0.81308,0.51754,1.29156,0.83108,0.01089,0.00901,0.00901,0.00901
52,2605.48,1.22303,0.80542,0.00726,0.83074,0.7149,0.8095,0.50921,1.30378,0.85507,0.01086,0.0089902,0.0089902,0.0089902
53,2657.32,1.23842,0.81027,0.00723,0.81898,0.75127,0.81949,0.51845,1.30572,0.79127,0.01083,0.0089704,0.0089704,0.0089704
54,2708.41,1.26177,0.80333,0.00687,0.83519,0.7304,0.81783,0.52612,1.2755,0.84235,0.01023,0.0089506,0.0089506,0.0089506
55,2759.47,1.2344,0.79945,0.00715,0.82161,0.72395,0.80961,0.51975,1.30612,0.82536,0.01077,0.0089308,0.0089308,0.0089308
56,2810.03,1.27535,0.81233,0.00709,0.81866,0.73074,0.82261,0.51966,1.29657,0.78798,0.01054,0.008911,0.008911,0.008911
57,2860.7,1.23613,0.78762,0.0071,0.82716,0.73872,0.82245,0.52558,1.29931,0.78011,0.01111,0.0088912,0.0088912,0.0088912
58,2911.43,1.25771,0.78379,0.00681,0.82253,0.74472,0.81418,0.52274,1.30338,0.7906,0.01066,0.0088714,0.0088714,0.0088714
59,2961.81,1.22455,0.78012,0.00703,0.83528,0.74533,0.82577,0.52084,1.30196,0.77694,0.01077,0.0088516,0.0088516,0.0088516
60,3012.9,1.24532,0.80181,0.00692,0.81389,0.7372,0.81292,0.52007,1.29911,0.8265,0.01072,0.0088318,0.0088318,0.0088318
