epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.436,3.25891,6.58269,0.03275,0.00092,0.07436,0.00064,0.00023,3.18573,5.13585,0.03905,0.00331395,0.00331395,0.0701744
2,73.6729,2.65313,5.06434,0.02331,0.00237,0.1961,0.01819,0.00629,2.56184,3.96676,0.02855,0.00663413,0.00663413,0.0401613
3,109.689,2.09392,4.28621,0.01707,0.12256,0.05479,0.03516,0.01284,2.2827,3.62315,0.02437,0.0099411,0.0099411,0.0101349
4,145.699,1.87669,3.38088,0.01293,0.26431,0.20834,0.13716,0.06569,1.87852,2.93199,0.0171,0.0099406,0.0099406,0.0099406
5,181.984,1.64279,2.30707,0.0104,0.58153,0.47965,0.50113,0.30143,1.53671,1.63457,0.01272,0.0099208,0.0099208,0.0099208
6,218.209,1.48501,1.74755,0.00872,0.68033,0.53643,0.60049,0.36006,1.48254,1.36745,0.01202,0.009901,0.009901,0.009901
7,254.325,1.4564,1.482,0.00807,0.66562,0.60218,0.63729,0.38779,1.42801,1.21189,0.01094,0.0098812,0.0098812,0.0098812
8,290.375,1.39531,1.36381,0.00795,0.70888,0.60271,0.66296,0.40221,1.41031,1.20108,0.011,0.0098614,0.0098614,0.0098614
9,326.522,1.37105,1.2082,0.00735,0.73985,0.62627,0.6955,0.43148,1.37469,1.08596,0.01035,0.0098416,0.0098416,0.0098416
10,362.571,1.3284,1.13675,0.00745,0.72855,0.63555,0.70458,0.42613,1.40634,1.03303,0.01057,0.0098218,0.0098218,0.0098218
11,398.208,1.31098,1.05667,0.0071,0.77394,0.63845,0.71547,0.43961,1.42231,1.05156,0.01117,0.009802,0.009802,0.009802
12,432.73,1.34874,1.05409,0.00707,0.75295,0.67723,0.74208,0.46107,1.34461,0.95151,0.00994,0.0097822,0.0097822,0.0097822
13,467.113,1.29892,0.97254,0.00685,0.78454,0.67716,0.75697,0.48035,1.32656,0.92386,0.01002,0.0097624,0.0097624,0.0097624
14,501.351,1.30217,0.96492,0.00663,0.8042,0.65615,0.75666,0.48029,1.34217,0.93504,0.01013,0.0097426,0.0097426,0.0097426
15,535.596,1.28013,0.92461,0.00678,0.81135,0.68972,0.77575,0.49106,1.32294,0.85963,0.01021,0.0097228,0.0097228,0.0097228
16,570.566,1.2789,0.9268,0.00692,0.8209,0.67092,0.77052,0.4833,1.32438,0.87455,0.01009,0.009703,0.009703,0.009703
17,605.34,1.27727,0.90575,0.00685,0.79255,0.69365,0.77095,0.49442,1.31979,0.83759,0.01004,0.0096832,0.0096832,0.0096832
18,639.918,1.28587,0.90556,0.00677,0.80529,0.68697,0.77281,0.49758,1.31331,0.85767,0.01038,0.0096634,0.0096634,0.0096634
19,674.633,1.25828,0.87383,0.00679,0.83162,0.70169,0.79039,0.49258,1.35032,0.82986,0.01018,0.0096436,0.0096436,0.0096436
20,709.624,1.27918,0.85472,0.00654,0.82492,0.69671,0.78671,0.50125,1.28718,0.8605,0.00958,0.0096238,0.0096238,0.0096238
21,744.355,1.29033,0.88451,0.00681,0.80738,0.70527,0.79097,0.49694,1.32105,0.80995,0.01001,0.009604,0.009604,0.009604
22,779.018,1.23893,0.83412,0.00664,0.82054,0.6887,0.79193,0.50519,1.31202,0.83617,0.00993,0.0095842,0.0095842,0.0095842
23,813.803,1.27852,0.83605,0.00654,0.82148,0.71238,0.79644,0.50619,1.2898,0.84711,0.00967,0.0095644,0.0095644,0.0095644
24,848.398,1.24572,0.84056,0.00656,0.79975,0.73794,0.8005,0.50709,1.31614,0.80526,0.00985,0.0095446,0.0095446,0.0095446
25,883.226,1.28604,0.83395,0.00645,0.7969,0.7157,0.79244,0.50095,1.30564,0.80333,0.00965,0.0095248,0.0095248,0.0095248
26,918.999,1.22921,0.81336,0.00646,0.82683,0.71386,0.80384,0.50359,1.32128,0.77887,0.00998,0.009505,0.009505,0.009505
27,954.82,1.21334,0.81529,0.00647,0.81909,0.71504,0.79818,0.51787,1.29489,0.80253,0.00994,0.0094852,0.0094852,0.0094852
28,990.779,1.25714,0.80104,0.00639,0.82905,0.71922,0.80989,0.51312,1.27174,0.76838,0.00918,0.0094654,0.0094654,0.0094654
29,1026.77,1.22035,0.77462,0.00636,0.84304,0.72761,0.81127,0.52681,1.28765,0.73287,0.00927,0.0094456,0.0094456,0.0094456
30,1062.52,1.22341,0.7773,0.00634,0.81539,0.73665,0.81542,0.52827,1.26132,0.74824,0.00944,0.0094258,0.0094258,0.0094258
31,1098.2,1.22983,0.77022,0.00647,0.84039,0.71107,0.80846,0.52389,1.28664,0.74672,0.00972,0.009406,0.009406,0.009406
32,1133.09,1.21838,0.74497,0.00624,0.83024,0.73845,0.80773,0.52087,1.28213,0.73239,0.00951,0.0093862,0.0093862,0.0093862
33,1167.49,1.22829,0.75887,0.00629,0.83144,0.7354,0.81845,0.53742,1.25678,0.72473,0.00926,0.0093664,0.0093664,0.0093664
34,1202.12,1.23437,0.76749,0.00619,0.8142,0.73536,0.8141,0.53312,1.26913,0.73701,0.00944,0.0093466,0.0093466,0.0093466
35,1236.54,1.23361,0.75378,0.00615,0.83543,0.72721,0.81417,0.53259,1.28099,0.76411,0.00963,0.0093268,0.0093268,0.0093268
36,1271,1.22474,0.75147,0.0064,0.81292,0.72704,0.79709,0.50851,1.3152,0.77565,0.00971,0.009307,0.009307,0.009307
37,1305.58,1.22956,0.74382,0.00618,0.84502,0.72894,0.81703,0.52556,1.28419,0.73723,0.00955,0.0092872,0.0092872,0.0092872
