epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1199,195.538,5.87601,0.01375,0.00238,0.22478,0.00431,0.0016,272.783,8.63646,0.01885,0.00331361,0.00331361,0.0701775
2,120.301,199.653,5.69896,0.01204,0.00348,0.32683,0.00563,0.00196,265.273,8.46698,0.01835,0.00663378,0.00663378,0.0401644
3,178.33,185.265,5.7968,0.01286,0.00374,0.33657,0.00465,0.00135,282.388,8.51942,0.02099,0.00994075,0.00994075,0.010138
4,236.199,188.144,5.86988,0.0133,0.00338,0.31435,0.0026,0.00085,279.69,8.74026,0.02076,0.0099406,0.0099406,0.0099406
5,294.121,198.236,5.73503,0.01322,0.0033,0.30902,0.00789,0.00236,268.432,8.58442,0.01891,0.0099208,0.0099208,0.0099208
6,352.217,183.449,5.72317,0.01306,0.00323,0.29528,0.0066,0.00284,266.236,8.36347,0.01923,0.009901,0.009901,0.009901
7,410.037,184.188,5.66081,0.01291,0.00332,0.32201,0.00353,0.0011,268.428,8.68948,0.02091,0.0098812,0.0098812,0.0098812
8,467.375,175.136,5.51242,0.01242,0.00406,0.36199,0.00631,0.00194,255.855,8.02766,0.01721,0.0098614,0.0098614,0.0098614
9,525.124,173.075,5.49915,0.01212,0.00359,0.33901,0.0102,0.00371,236.32,7.82737,0.0166,0.0098416,0.0098416,0.0098416
10,581.414,182.101,5.47243,0.01171,0.00346,0.32901,0.00825,0.00301,249.299,7.99655,0.01759,0.0098218,0.0098218,0.0098218
11,636.733,161.361,5.45416,0.01196,0.00394,0.36735,0.01101,0.00413,235.693,7.74268,0.01574,0.009802,0.009802,0.009802
12,692.511,169.371,5.36984,0.01159,0.00416,0.39139,0.01672,0.00765,222.368,7.45065,0.01504,0.0097822,0.0097822,0.0097822
13,749.193,166.409,5.40401,0.0113,0.00422,0.39218,0.02344,0.01013,239.551,7.48365,0.01621,0.0097624,0.0097624,0.0097624
14,806.235,166.619,5.29635,0.01103,0.00442,0.41615,0.02466,0.01022,226.129,7.46122,0.01532,0.0097426,0.0097426,0.0097426
15,863.788,164.395,5.28621,0.01121,0.00379,0.36727,0.02214,0.01011,222.694,7.26317,0.01393,0.0097228,0.0097228,0.0097228
16,919.787,165.991,5.13407,0.01097,0.00403,0.38964,0.02072,0.00922,232.705,7.17027,0.01443,0.009703,0.009703,0.009703
17,975.599,166.333,5.07006,0.01022,0.00471,0.44994,0.03571,0.01754,213.955,7.03488,0.01355,0.0096832,0.0096832,0.0096832
18,1031.33,161.091,5.0782,0.01043,0.07688,0.10019,0.03647,0.01717,212.411,7.09847,0.01379,0.0096634,0.0096634,0.0096634
19,1087.8,165.734,4.98248,0.0103,0.08108,0.08527,0.04493,0.02257,214.8,7.03512,0.01408,0.0096436,0.0096436,0.0096436
