epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4627,0.87878,2.58536,0.00349,0.67723,0.61109,0.67668,0.45985,0.99685,1.60206,0.00615,0.00331361,0.00331361,0.0701775
2,64.4324,0.86087,1.11975,0.00358,0.7461,0.69037,0.7732,0.53077,1.0312,1.13773,0.00644,0.00663378,0.00663378,0.0401644
3,88.8808,0.92698,0.90974,0.00399,0.80906,0.72059,0.80486,0.54547,1.08803,1.01022,0.00702,0.00994075,0.00994075,0.010138
4,114.302,0.97513,0.8631,0.00456,0.78911,0.73121,0.79535,0.52744,1.1514,1.01743,0.00789,0.0099406,0.0099406,0.0099406
5,141.977,1.0351,0.83878,0.00487,0.77767,0.73759,0.80732,0.52513,1.1998,0.99147,0.00842,0.0099208,0.0099208,0.0099208
6,170.019,1.0871,0.81802,0.00524,0.79987,0.70608,0.789,0.51904,1.22502,0.98248,0.00882,0.009901,0.009901,0.009901
7,198.705,1.11324,0.79867,0.00516,0.84723,0.71392,0.81701,0.52157,1.21396,0.88408,0.00853,0.0098812,0.0098812,0.0098812
8,224.67,1.11449,0.78902,0.00579,0.80777,0.73808,0.80686,0.49848,1.28694,0.89609,0.00924,0.0098614,0.0098614,0.0098614
9,251.384,1.12942,0.7599,0.00564,0.84274,0.71754,0.79836,0.48818,1.36625,0.97955,0.01063,0.0098416,0.0098416,0.0098416
10,280.395,1.12127,0.73454,0.00555,0.81422,0.74472,0.82253,0.52678,1.25261,0.86243,0.00915,0.0098218,0.0098218,0.0098218
11,309.406,1.12377,0.74922,0.0057,0.83706,0.75176,0.81737,0.51753,1.25171,0.85471,0.0089,0.009802,0.009802,0.009802
12,337.858,1.14349,0.74485,0.00583,0.82058,0.72669,0.79404,0.49658,1.30379,0.93119,0.00971,0.0097822,0.0097822,0.0097822
13,364.707,1.12252,0.72313,0.00572,0.81236,0.76412,0.8245,0.52229,1.23625,0.78036,0.00877,0.0097624,0.0097624,0.0097624
14,389.314,1.12279,0.69145,0.00552,0.81457,0.72948,0.8103,0.49718,1.39375,0.88075,0.0109,0.0097426,0.0097426,0.0097426
15,416.655,1.14064,0.72404,0.00558,0.82557,0.71949,0.79663,0.49698,1.37185,0.88312,0.01069,0.0097228,0.0097228,0.0097228
