epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,129.151,2.93329,5.1837,0.0253,0.23251,0.22541,0.13697,0.04095,2.29856,4.00745,0.02725,0.00331361,0.00331361,0.0701775
2,241.382,2.00328,2.62368,0.01645,0.37239,0.3974,0.33372,0.15283,1.80043,3.66632,0.02021,0.00663378,0.00663378,0.0401644
3,339.568,1.7481,2.13258,0.01359,0.43347,0.4713,0.41758,0.20728,1.72699,2.70316,0.01879,0.00994075,0.00994075,0.010138
4,459.768,1.57713,1.86315,0.01222,0.51966,0.55083,0.53388,0.28704,1.54912,2.16335,0.01608,0.0099406,0.0099406,0.0099406
5,536.092,1.49529,1.63772,0.01085,0.54065,0.59788,0.57674,0.31969,1.56675,1.97076,0.01526,0.0099208,0.0099208,0.0099208
6,661.78,1.45479,1.47076,0.01029,0.6321,0.63072,0.662,0.39802,1.40921,1.71157,0.0134,0.009901,0.009901,0.009901
7,734.057,1.41529,1.33789,0.00925,0.69247,0.61543,0.69194,0.40795,1.48415,1.54472,0.01407,0.0098812,0.0098812,0.0098812
8,807.497,1.40408,1.26573,0.00994,0.72518,0.63342,0.71288,0.43201,1.3624,1.49608,0.01231,0.0098614,0.0098614,0.0098614
9,899.409,1.39854,1.21538,0.00955,0.68729,0.67691,0.72492,0.4356,1.34909,1.35457,0.01223,0.0098416,0.0098416,0.0098416
10,969.548,1.36607,1.1452,0.00895,0.68617,0.66964,0.72033,0.42373,1.38264,1.31381,0.01278,0.0098218,0.0098218,0.0098218
11,1052.61,1.37571,1.11254,0.00918,0.76104,0.65864,0.74295,0.45668,1.41819,1.22212,0.01298,0.009802,0.009802,0.009802
12,1156.3,1.37624,1.09979,0.00897,0.72362,0.70156,0.75721,0.44943,1.35964,1.2081,0.01178,0.0097822,0.0097822,0.0097822
13,1222.67,1.34339,1.04366,0.00906,0.75882,0.66166,0.74589,0.45211,1.37202,1.17344,0.01207,0.0097624,0.0097624,0.0097624
14,1314.33,1.34271,1.02058,0.00862,0.72489,0.70563,0.76242,0.4527,1.37046,1.13588,0.01206,0.0097426,0.0097426,0.0097426
15,1412.35,1.34394,1.02192,0.00832,0.75426,0.69931,0.76839,0.46693,1.45847,1.13766,0.01281,0.0097228,0.0097228,0.0097228
16,1470.12,1.37595,1.02238,0.00841,0.75827,0.68699,0.76446,0.46746,1.40784,1.05303,0.01239,0.009703,0.009703,0.009703
17,1527.58,1.34887,1.01202,0.0084,0.75598,0.72243,0.77237,0.47205,1.35996,1.09552,0.01201,0.0096832,0.0096832,0.0096832
18,1577.93,1.32872,0.96575,0.00819,0.77194,0.70179,0.76969,0.47566,1.36658,1.06077,0.01198,0.0096634,0.0096634,0.0096634
19,1644.66,1.35354,0.98183,0.00838,0.78283,0.70307,0.78612,0.46541,1.34579,1.01881,0.01126,0.0096436,0.0096436,0.0096436
20,1708.53,1.35179,0.96863,0.00802,0.77326,0.70528,0.77668,0.47442,1.36842,0.99744,0.01158,0.0096238,0.0096238,0.0096238
21,1762.93,1.3153,0.91629,0.0083,0.77114,0.72567,0.78676,0.50079,1.33331,0.97167,0.0113,0.009604,0.009604,0.009604
22,1814.88,1.31263,0.92579,0.00823,0.77531,0.71176,0.78254,0.4732,1.37015,0.96509,0.01211,0.0095842,0.0095842,0.0095842
23,1867.85,1.29857,0.89411,0.00807,0.78703,0.74104,0.80992,0.50188,1.29376,0.86811,0.01079,0.0095644,0.0095644,0.0095644
24,1923.63,1.33168,0.91755,0.0083,0.80768,0.7206,0.80778,0.49593,1.30079,0.88974,0.0108,0.0095446,0.0095446,0.0095446
25,1977.68,1.31258,0.90018,0.00802,0.78386,0.73571,0.80416,0.50157,1.30921,0.90229,0.01077,0.0095248,0.0095248,0.0095248
26,2027.79,1.29953,0.91176,0.00793,0.77648,0.73494,0.79041,0.48865,1.34214,0.93994,0.01121,0.009505,0.009505,0.009505
27,2076.36,1.30755,0.87397,0.00794,0.8025,0.74773,0.81334,0.50161,1.30097,0.86284,0.01074,0.0094852,0.0094852,0.0094852
28,2125.49,1.3107,0.89015,0.00781,0.7964,0.74422,0.81802,0.50823,1.28258,0.87754,0.01048,0.0094654,0.0094654,0.0094654
29,2172.64,1.30241,0.87422,0.00766,0.81282,0.72837,0.81151,0.509,1.281,0.8575,0.01025,0.0094456,0.0094456,0.0094456
30,2221.26,1.28203,0.85357,0.00793,0.77523,0.76205,0.82028,0.51772,1.27438,0.84609,0.01076,0.0094258,0.0094258,0.0094258
31,2270.44,1.33332,0.89481,0.00777,0.8042,0.75641,0.83135,0.51317,1.28831,0.82797,0.01076,0.009406,0.009406,0.009406
32,2320.02,1.30012,0.86721,0.00762,0.83189,0.74005,0.82752,0.51693,1.27771,0.84784,0.01029,0.0093862,0.0093862,0.0093862
33,2367.52,1.3109,0.86839,0.0076,0.842,0.75539,0.84311,0.5252,1.26099,0.81476,0.01014,0.0093664,0.0093664,0.0093664
34,2415.1,1.28518,0.84289,0.00743,0.80609,0.75413,0.8227,0.50999,1.33524,0.83934,0.0116,0.0093466,0.0093466,0.0093466
35,2463.01,1.28164,0.82838,0.00744,0.8228,0.73662,0.80988,0.51265,1.32121,0.83362,0.0108,0.0093268,0.0093268,0.0093268
36,2511.12,1.27125,0.8359,0.00761,0.78159,0.72606,0.79818,0.50512,1.3106,0.87016,0.01071,0.009307,0.009307,0.009307
37,2559.32,1.26226,0.83947,0.00769,0.82844,0.72319,0.80739,0.50011,1.3235,0.87708,0.01123,0.0092872,0.0092872,0.0092872
38,2607.78,1.28092,0.84039,0.00716,0.82845,0.75006,0.82111,0.5127,1.30004,0.82121,0.01081,0.0092674,0.0092674,0.0092674
39,2656.03,1.27039,0.84343,0.00743,0.82401,0.76785,0.83503,0.51782,1.30466,0.78653,0.01031,0.0092476,0.0092476,0.0092476
40,2704.73,1.27798,0.80289,0.0074,0.82247,0.76139,0.83461,0.52809,1.24434,0.78663,0.00995,0.0092278,0.0092278,0.0092278
41,2753.44,1.25066,0.83008,0.00716,0.81634,0.76472,0.83141,0.52912,1.25489,0.78411,0.01021,0.009208,0.009208,0.009208
42,2801.89,1.24785,0.80311,0.00738,0.8236,0.75884,0.82486,0.52183,1.31652,0.77836,0.01065,0.0091882,0.0091882,0.0091882
43,2850.66,1.25369,0.79381,0.00724,0.80435,0.77321,0.82775,0.51875,1.27318,0.79659,0.01029,0.0091684,0.0091684,0.0091684
44,2900.08,1.26527,0.82518,0.00715,0.80101,0.76307,0.8257,0.52937,1.30339,0.76984,0.0105,0.0091486,0.0091486,0.0091486
45,2948.67,1.25689,0.80402,0.00733,0.8329,0.77099,0.83886,0.53954,1.23405,0.7725,0.00975,0.0091288,0.0091288,0.0091288
