epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1692,0.85472,2.73449,0.00354,0.54208,0.55505,0.55324,0.36872,1.02935,1.78939,0.00638,0.00331361,0.00331361,0.0701775
2,69.1953,0.87565,1.19276,0.0038,0.70982,0.67084,0.72747,0.49624,1.05733,1.21495,0.00687,0.00663378,0.00663378,0.0401644
3,99.2414,0.94365,0.96001,0.00418,0.73031,0.73264,0.78067,0.52057,1.11008,1.06231,0.00745,0.00994075,0.00994075,0.010138
4,128.936,0.99897,0.91391,0.00482,0.79611,0.69297,0.7773,0.49201,1.19868,1.08418,0.00818,0.0099406,0.0099406,0.0099406
5,158.577,1.07898,0.90491,0.00521,0.80452,0.71666,0.7933,0.49231,1.20808,0.97318,0.00849,0.0099208,0.0099208,0.0099208
6,188.53,1.12406,0.88937,0.00558,0.78149,0.72604,0.79581,0.49448,1.22612,0.95666,0.00875,0.009901,0.009901,0.009901
7,218.898,1.14428,0.86888,0.0054,0.82707,0.71768,0.80361,0.50105,1.22821,0.916,0.00843,0.0098812,0.0098812,0.0098812
8,248.807,1.13854,0.85424,0.00589,0.78958,0.71378,0.7841,0.47441,1.27159,0.95924,0.00902,0.0098614,0.0098614,0.0098614
9,278.597,1.12741,0.82255,0.00568,0.8522,0.72253,0.81396,0.52415,1.17864,0.85815,0.00831,0.0098416,0.0098416,0.0098416
10,308.626,1.12255,0.77539,0.00564,0.82129,0.74246,0.81628,0.53511,1.23312,0.82588,0.00898,0.0098218,0.0098218,0.0098218
11,338.629,1.11523,0.7637,0.0056,0.8342,0.75405,0.82925,0.53518,1.22575,0.79478,0.00903,0.009802,0.009802,0.009802
12,368.765,1.14279,0.7675,0.00579,0.83685,0.74332,0.83083,0.53223,1.23508,0.76855,0.00921,0.0097822,0.0097822,0.0097822
13,399.306,1.12099,0.74056,0.00582,0.83724,0.73518,0.82493,0.52901,1.21754,0.811,0.00853,0.0097624,0.0097624,0.0097624
14,429.371,1.12736,0.70692,0.00562,0.85088,0.75812,0.82773,0.52733,1.28881,0.74933,0.00959,0.0097426,0.0097426,0.0097426
15,459.35,1.15508,0.73027,0.00569,0.8433,0.77099,0.84116,0.54761,1.23137,0.71986,0.00886,0.0097228,0.0097228,0.0097228
16,489.465,1.17074,0.73389,0.00577,0.86612,0.7516,0.82811,0.54272,1.20637,0.77219,0.00868,0.009703,0.009703,0.009703
17,519.626,1.16622,0.72575,0.00588,0.87001,0.75034,0.83966,0.53281,1.24139,0.77291,0.00869,0.0096832,0.0096832,0.0096832
18,549.616,1.13847,0.69067,0.00567,0.8688,0.74217,0.83625,0.53849,1.25218,0.71971,0.00928,0.0096634,0.0096634,0.0096634
19,579.544,1.16694,0.71326,0.00578,0.84698,0.76713,0.82983,0.54506,1.23569,0.74453,0.00879,0.0096436,0.0096436,0.0096436
20,609.527,1.16818,0.70665,0.00566,0.85853,0.74756,0.83359,0.53581,1.23567,0.75736,0.00866,0.0096238,0.0096238,0.0096238
21,639.502,1.12036,0.67271,0.00579,0.85756,0.74911,0.83735,0.54749,1.20958,0.73284,0.00866,0.009604,0.009604,0.009604
22,669.486,1.13054,0.68663,0.00577,0.86051,0.75659,0.83345,0.54617,1.2206,0.72574,0.00857,0.0095842,0.0095842,0.0095842
23,699.381,1.11025,0.66503,0.00569,0.85028,0.78928,0.85671,0.56855,1.16169,0.67527,0.00821,0.0095644,0.0095644,0.0095644
24,729.447,1.14553,0.69222,0.00588,0.87105,0.74529,0.82196,0.5417,1.21924,0.74339,0.0086,0.0095446,0.0095446,0.0095446
25,759.976,1.14728,0.68512,0.00584,0.85989,0.7744,0.84052,0.54605,1.23888,0.73504,0.00915,0.0095248,0.0095248,0.0095248
26,789.947,1.12264,0.67912,0.00578,0.8703,0.76437,0.84644,0.55448,1.21507,0.68926,0.0085,0.009505,0.009505,0.009505
27,820.026,1.12774,0.67098,0.00564,0.84399,0.79481,0.84989,0.5496,1.22206,0.67775,0.00854,0.0094852,0.0094852,0.0094852
28,850.078,1.15984,0.69857,0.00581,0.86689,0.7756,0.85283,0.55656,1.22047,0.67493,0.00879,0.0094654,0.0094654,0.0094654
29,880.076,1.14142,0.66723,0.00564,0.84605,0.78798,0.84522,0.56614,1.19113,0.71031,0.00842,0.0094456,0.0094456,0.0094456
30,910.259,1.11788,0.6362,0.00577,0.87037,0.7905,0.85882,0.56003,1.19098,0.64856,0.00833,0.0094258,0.0094258,0.0094258
31,940.358,1.16696,0.66408,0.0056,0.85773,0.77289,0.84478,0.55241,1.20852,0.67924,0.00866,0.009406,0.009406,0.009406
32,970.495,1.14341,0.65252,0.00554,0.85843,0.76718,0.84253,0.559,1.2245,0.70096,0.00862,0.0093862,0.0093862,0.0093862
33,1000.5,1.15091,0.66083,0.00566,0.85323,0.77608,0.8546,0.55256,1.2199,0.64288,0.00881,0.0093664,0.0093664,0.0093664
