epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3548,344.524,9.38538,0.03118,0.00982,0.00198,0.00034,7e-05,417.393,14.6971,0.04418,0.00331361,0.00331361,0.0701775
2,141.083,307.712,8.49322,0.02899,0.00752,0.03695,0.001,0.00018,347.955,23.2929,0.03487,0.00663378,0.00663378,0.0401644
3,203.35,256.114,7.53742,0.02225,0.06083,0.0813,0.01695,0.00342,317.486,12.782,0.03216,0.00994075,0.00994075,0.010138
4,266.069,209.456,7.26937,0.01776,0.07324,0.04206,0.01094,0.00292,260.509,10.7628,0.02282,0.0099406,0.0099406,0.0099406
5,328.419,197.915,6.92468,0.01538,0.07138,0.05456,0.02867,0.00951,231.787,10.2353,0.01915,0.0099208,0.0099208,0.0099208
6,391.583,187.634,6.78283,0.01421,0.15012,0.0143,0.02172,0.00896,218.168,9.93493,0.01671,0.009901,0.009901,0.009901
7,454.242,183.606,6.61329,0.01246,0.15966,0.02792,0.02296,0.00875,216.979,9.82244,0.01675,0.0098812,0.0098812,0.0098812
8,516.263,156.828,6.69327,0.01274,0.0982,0.02877,0.02687,0.00938,214.597,9.58907,0.01635,0.0098614,0.0098614,0.0098614
9,578.337,156.881,6.52707,0.01212,0.00436,0.47666,0.02175,0.00865,206.233,9.49039,0.01596,0.0098416,0.0098416,0.0098416
10,640.576,155.171,6.40913,0.0114,0.24091,0.02742,0.04412,0.01989,196.262,9.31341,0.0142,0.0098218,0.0098218,0.0098218
11,702.763,149.282,6.38147,0.01111,0.00475,0.50575,0.02448,0.00994,195.848,9.20039,0.01359,0.009802,0.009802,0.009802
12,764.898,151.29,6.3188,0.011,0.08366,0.11013,0.03077,0.01411,194.03,9.12268,0.01346,0.0097822,0.0097822,0.0097822
13,827.052,149.988,6.22279,0.011,0.0048,0.51282,0.03268,0.01444,192.863,9.02059,0.01251,0.0097624,0.0097624,0.0097624
14,890.846,150.084,6.15429,0.01024,0.1947,0.03811,0.04129,0.02055,192.378,8.89042,0.01292,0.0097426,0.0097426,0.0097426
15,953.197,147.52,6.19123,0.01009,0.00443,0.47458,0.01958,0.00878,189.837,8.96666,0.01239,0.0097228,0.0097228,0.0097228
16,1015.76,142.684,6.10256,0.00985,0.17729,0.08395,0.0501,0.02368,197.02,8.91155,0.01304,0.009703,0.009703,0.009703
17,1078,140.831,6.0981,0.00968,0.05235,0.2957,0.04829,0.02546,189.889,8.70876,0.01133,0.0096832,0.0096832,0.0096832
18,1140.2,143.364,5.90536,0.00927,0.01571,0.45567,0.04385,0.02267,182.542,8.73442,0.01212,0.0096634,0.0096634,0.0096634
19,1202.52,143.492,5.91428,0.00953,0.63472,0.045,0.05161,0.02548,188.997,8.6203,0.0122,0.0096436,0.0096436,0.0096436
20,1264.68,138.827,5.90588,0.00914,0.11585,0.05853,0.05829,0.03001,200.487,8.67088,0.01277,0.0096238,0.0096238,0.0096238
21,1326.62,130.274,5.87316,0.00946,0.28276,0.05355,0.06763,0.0369,182.336,8.45223,0.01129,0.009604,0.009604,0.009604
22,1389.18,130.831,5.84365,0.00915,0.27569,0.04515,0.06183,0.03289,184.335,8.44593,0.01126,0.0095842,0.0095842,0.0095842
23,1451.41,134.234,5.71335,0.00886,0.11817,0.19429,0.05763,0.0332,180.878,8.42455,0.01144,0.0095644,0.0095644,0.0095644
24,1513.59,131.652,5.77942,0.00912,0.61037,0.03955,0.05778,0.03032,184.526,8.34934,0.01187,0.0095446,0.0095446,0.0095446
25,1575.64,133.042,5.68014,0.00905,0.31231,0.04749,0.06164,0.03275,179.268,8.3119,0.01134,0.0095248,0.0095248,0.0095248
26,1637.77,129.205,5.66348,0.00894,0.40267,0.03676,0.06402,0.0352,180.424,8.20698,0.01123,0.009505,0.009505,0.009505
27,1699.93,133.66,5.55146,0.00875,0.55634,0.04604,0.06656,0.03639,178.082,8.16054,0.01066,0.0094852,0.0094852,0.0094852
28,1762.3,129.752,5.56815,0.00877,0.35109,0.05233,0.07952,0.04344,185.627,8.10322,0.01167,0.0094654,0.0094654,0.0094654
29,1824.61,133.945,5.45231,0.00857,0.42893,0.10355,0.08789,0.04923,179.734,8.05148,0.01081,0.0094456,0.0094456,0.0094456
30,1886.81,126.552,5.4626,0.00854,0.4362,0.10216,0.07899,0.04386,181.495,8.0213,0.0105,0.0094258,0.0094258,0.0094258
31,1949.1,142.033,5.39995,0.00835,0.35384,0.10745,0.09794,0.05582,179.263,7.89249,0.01072,0.009406,0.009406,0.009406
32,2011.3,131.351,5.38795,0.00823,0.32671,0.14955,0.09232,0.05349,176.105,7.82097,0.01015,0.0093862,0.0093862,0.0093862
33,2073.73,130.028,5.42458,0.00817,0.29981,0.13364,0.1016,0.05736,182.551,7.90859,0.01084,0.0093664,0.0093664,0.0093664
34,2136.11,128.865,5.31948,0.00805,0.29351,0.07449,0.08826,0.05051,179.105,7.81793,0.01046,0.0093466,0.0093466,0.0093466
35,2198.69,132.018,5.20787,0.00791,0.30271,0.05813,0.09748,0.05577,180.154,7.76631,0.01049,0.0093268,0.0093268,0.0093268
36,2260.76,125.892,5.27138,0.00832,0.34536,0.13612,0.12625,0.07093,183.014,7.66645,0.01037,0.009307,0.009307,0.009307
37,2322.91,125.112,5.17094,0.0082,0.24697,0.08521,0.10046,0.05165,178.795,7.67879,0.01054,0.0092872,0.0092872,0.0092872
38,2384.97,134.795,5.20005,0.00793,0.259,0.11708,0.11288,0.06126,180.054,7.61595,0.01064,0.0092674,0.0092674,0.0092674
39,2447.52,129.386,5.08663,0.00813,0.23019,0.16295,0.10859,0.06112,179.317,7.63706,0.01047,0.0092476,0.0092476,0.0092476
40,2509.74,127.572,5.19353,0.00808,0.25149,0.08358,0.11027,0.05906,179.796,7.53687,0.01051,0.0092278,0.0092278,0.0092278
41,2571.87,128.805,5.00648,0.00793,0.24097,0.18753,0.10914,0.06138,182.437,7.50681,0.01005,0.009208,0.009208,0.009208
42,2634.16,125.797,4.99587,0.00799,0.2461,0.15579,0.11834,0.06525,175.785,7.40425,0.00972,0.0091882,0.0091882,0.0091882
43,2697.53,124.337,4.97749,0.00786,0.24057,0.17883,0.12161,0.07019,174.558,7.45099,0.00934,0.0091684,0.0091684,0.0091684
44,2759.46,123.621,5.02067,0.00785,0.22753,0.21409,0.13111,0.07441,174.057,7.29762,0.01007,0.0091486,0.0091486,0.0091486
45,2821.89,120.754,4.982,0.00786,0.24314,0.20975,0.12832,0.07577,175.53,7.26962,0.00959,0.0091288,0.0091288,0.0091288
46,2884.47,129.987,4.87391,0.00778,0.26387,0.20716,0.13865,0.08003,176.954,7.25387,0.00957,0.009109,0.009109,0.009109
47,2946.85,126.194,4.77775,0.00773,0.23311,0.26196,0.15069,0.08864,176.911,7.14289,0.00954,0.0090892,0.0090892,0.0090892
