epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7238,1.23251,3.16808,0.00686,0.62057,0.56766,0.58909,0.37465,1.18047,1.96005,0.00824,0.00331361,0.00331361,0.0701775
2,91.426,1.05673,1.33814,0.00536,0.73899,0.64562,0.71925,0.46913,1.1409,1.38682,0.0084,0.00663378,0.00663378,0.0401644
3,132.865,1.09035,1.08409,0.00557,0.74314,0.71346,0.76905,0.4936,1.1752,1.14781,0.00878,0.00994075,0.00994075,0.010138
4,174.342,1.12376,1.01919,0.00628,0.77746,0.68258,0.76721,0.46617,1.33639,1.18157,0.01082,0.0099406,0.0099406,0.0099406
5,215.727,1.19324,0.9606,0.0063,0.77951,0.69775,0.76688,0.479,1.28625,1.07801,0.00967,0.0099208,0.0099208,0.0099208
6,257.433,1.21772,0.93192,0.00659,0.79176,0.7142,0.7976,0.49728,1.25268,0.94582,0.00932,0.009901,0.009901,0.009901
7,298.887,1.2246,0.88544,0.00629,0.82284,0.73551,0.81744,0.50695,1.29517,0.92366,0.01024,0.0098812,0.0098812,0.0098812
8,340.095,1.21696,0.87446,0.00679,0.7794,0.73776,0.78598,0.48051,1.28443,0.9063,0.00996,0.0098614,0.0098614,0.0098614
9,381.883,1.23947,0.85827,0.0068,0.80646,0.74878,0.81261,0.50365,1.26755,0.82295,0.00957,0.0098416,0.0098416,0.0098416
10,423.456,1.22104,0.82345,0.0066,0.79175,0.74934,0.80664,0.51893,1.26717,0.83473,0.00926,0.0098218,0.0098218,0.0098218
11,465.042,1.22749,0.81558,0.0068,0.82461,0.72956,0.7968,0.50281,1.29614,0.88318,0.0099,0.009802,0.009802,0.009802
12,506.541,1.23766,0.8054,0.00675,0.82435,0.75893,0.83373,0.52738,1.25737,0.77445,0.00927,0.0097822,0.0097822,0.0097822
13,547.859,1.22309,0.77905,0.00689,0.83678,0.7459,0.81467,0.48213,1.37619,0.84017,0.01077,0.0097624,0.0097624,0.0097624
14,589.065,1.22114,0.77461,0.00652,0.82901,0.76064,0.82097,0.52295,1.30464,0.78215,0.00967,0.0097426,0.0097426,0.0097426
15,630.381,1.2321,0.7771,0.0065,0.83538,0.77928,0.83457,0.53688,1.25149,0.75508,0.00926,0.0097228,0.0097228,0.0097228
16,671.67,1.26444,0.77508,0.00673,0.83169,0.76869,0.82121,0.53731,1.25713,0.73187,0.0093,0.009703,0.009703,0.009703
17,712.951,1.2428,0.7778,0.00658,0.84685,0.75901,0.82578,0.52949,1.25158,0.74733,0.00907,0.0096832,0.0096832,0.0096832
18,755.059,1.20778,0.7216,0.00647,0.85122,0.78058,0.83669,0.52505,1.24331,0.70116,0.0094,0.0096634,0.0096634,0.0096634
19,796.577,1.23807,0.7571,0.00656,0.85894,0.75503,0.83152,0.52341,1.27726,0.73545,0.00916,0.0096436,0.0096436,0.0096436
20,838.396,1.26075,0.75004,0.00648,0.85882,0.75797,0.82775,0.52919,1.3081,0.74097,0.01002,0.0096238,0.0096238,0.0096238
21,879.784,1.21096,0.71893,0.00669,0.858,0.76012,0.84793,0.5361,1.24931,0.71406,0.0093,0.009604,0.009604,0.009604
22,921.134,1.2175,0.73095,0.00665,0.84322,0.77562,0.84724,0.53797,1.24866,0.68942,0.00919,0.0095842,0.0095842,0.0095842
23,962.457,1.202,0.70909,0.00653,0.86477,0.77951,0.848,0.54892,1.21737,0.65319,0.00884,0.0095644,0.0095644,0.0095644
24,1003.78,1.22,0.71325,0.00668,0.87605,0.78459,0.84778,0.54052,1.26088,0.68213,0.00918,0.0095446,0.0095446,0.0095446
25,1044.99,1.21326,0.71911,0.00654,0.8316,0.79406,0.84465,0.55068,1.23337,0.67571,0.00902,0.0095248,0.0095248,0.0095248
26,1086.4,1.19235,0.70461,0.00647,0.87839,0.7789,0.84886,0.54945,1.27728,0.68523,0.0093,0.009505,0.009505,0.009505
27,1128.32,1.20838,0.70125,0.00646,0.85722,0.79371,0.85103,0.53658,1.26681,0.66763,0.00896,0.0094852,0.0094852,0.0094852
28,1169.91,1.2175,0.71499,0.00642,0.88748,0.76886,0.85159,0.54206,1.27676,0.67126,0.00943,0.0094654,0.0094654,0.0094654
29,1211.26,1.21906,0.69057,0.00634,0.88623,0.7769,0.86121,0.55221,1.23406,0.64827,0.00892,0.0094456,0.0094456,0.0094456
30,1252.76,1.18746,0.67732,0.00641,0.85986,0.78979,0.85137,0.53897,1.26251,0.69745,0.00904,0.0094258,0.0094258,0.0094258
31,1294.18,1.24417,0.69879,0.00655,0.87775,0.79296,0.86237,0.5468,1.26591,0.64347,0.0096,0.009406,0.009406,0.009406
32,1335.7,1.2216,0.67917,0.00641,0.85481,0.79422,0.85503,0.5441,1.29516,0.68959,0.00962,0.0093862,0.0093862,0.0093862
33,1377.12,1.23483,0.69626,0.0065,0.8558,0.80233,0.85895,0.56123,1.20343,0.6492,0.00843,0.0093664,0.0093664,0.0093664
34,1418.25,1.21064,0.68097,0.00626,0.87391,0.7868,0.85845,0.54611,1.25992,0.66821,0.00947,0.0093466,0.0093466,0.0093466
35,1459.77,1.20415,0.67172,0.00632,0.87964,0.79486,0.85725,0.56099,1.25834,0.64047,0.00936,0.0093268,0.0093268,0.0093268
36,1501.44,1.19287,0.66753,0.0065,0.86405,0.787,0.84288,0.52787,1.28284,0.69207,0.00922,0.009307,0.009307,0.009307
37,1543.05,1.18191,0.66529,0.00637,0.86892,0.78225,0.84181,0.53686,1.26375,0.65353,0.00911,0.0092872,0.0092872,0.0092872
38,1584.4,1.20911,0.66488,0.00619,0.87988,0.79324,0.85296,0.55365,1.2422,0.63491,0.00912,0.0092674,0.0092674,0.0092674
39,1625.87,1.20001,0.66774,0.00632,0.8567,0.7844,0.8378,0.55358,1.22143,0.69264,0.0086,0.0092476,0.0092476,0.0092476
40,1667.14,1.22122,0.65935,0.00647,0.88523,0.78063,0.85278,0.5588,1.26425,0.62216,0.00877,0.0092278,0.0092278,0.0092278
41,1708.54,1.18711,0.65015,0.0062,0.87562,0.79402,0.85974,0.55371,1.21179,0.63088,0.00852,0.009208,0.009208,0.009208
42,1749.82,1.16958,0.63705,0.00621,0.88121,0.79242,0.86099,0.55774,1.23951,0.60591,0.00884,0.0091882,0.0091882,0.0091882
43,1791.05,1.18541,0.64193,0.00611,0.88995,0.78356,0.85485,0.56574,1.20994,0.639,0.00865,0.0091684,0.0091684,0.0091684
44,1832.95,1.20199,0.65103,0.0062,0.8623,0.79833,0.85837,0.56484,1.21129,0.59481,0.00873,0.0091486,0.0091486,0.0091486
45,1874.36,1.18709,0.64574,0.00625,0.87832,0.79094,0.85423,0.5577,1.19548,0.62335,0.00834,0.0091288,0.0091288,0.0091288
46,1915.77,1.19864,0.64916,0.00614,0.87279,0.81533,0.87676,0.57394,1.18433,0.57768,0.00866,0.009109,0.009109,0.009109
47,1957.15,1.17006,0.63149,0.00602,0.87667,0.77633,0.83897,0.56474,1.19714,0.64021,0.00842,0.0090892,0.0090892,0.0090892
