epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.08,1.2488,3.3523,0.00694,0.53979,0.51861,0.51429,0.32871,1.19111,2.08767,0.00866,0.00331361,0.00331361,0.0701775
2,67.3666,1.07754,1.39093,0.0055,0.65967,0.65719,0.68931,0.43954,1.14247,1.37645,0.00801,0.00663378,0.00663378,0.0401644
3,99.789,1.10968,1.1026,0.00562,0.72782,0.68089,0.74037,0.452,1.39809,1.32406,0.01122,0.00994075,0.00994075,0.010138
4,132.035,1.14445,1.00646,0.00649,0.72663,0.73522,0.76792,0.4917,1.2548,1.07317,0.00947,0.0099406,0.0099406,0.0099406
5,164.409,1.18796,0.94067,0.00631,0.74706,0.72232,0.76454,0.45505,1.33418,1.0289,0.00978,0.0099208,0.0099208,0.0099208
6,196.845,1.20827,0.89979,0.00654,0.79006,0.73937,0.79093,0.49424,1.26999,0.92752,0.00955,0.009901,0.009901,0.009901
7,229.452,1.21872,0.85307,0.0062,0.82061,0.73306,0.81768,0.50677,1.27053,0.87084,0.00949,0.0098812,0.0098812,0.0098812
8,262.418,1.20353,0.84292,0.00668,0.78865,0.74164,0.80305,0.4967,1.2936,0.89289,0.00968,0.0098614,0.0098614,0.0098614
9,295.051,1.22247,0.83878,0.00665,0.84411,0.74486,0.81896,0.52137,1.24032,0.82328,0.00892,0.0098416,0.0098416,0.0098416
10,327.87,1.21101,0.79015,0.00649,0.82017,0.7256,0.80351,0.50503,1.29952,0.84661,0.00981,0.0098218,0.0098218,0.0098218
11,360.416,1.21122,0.81083,0.00662,0.87075,0.74497,0.83289,0.52231,1.27733,0.77027,0.00957,0.009802,0.009802,0.009802
12,393.195,1.2222,0.80786,0.00655,0.84518,0.75501,0.82902,0.51896,1.26199,0.77335,0.00915,0.0097822,0.0097822,0.0097822
13,425.788,1.20185,0.78377,0.00665,0.82433,0.74183,0.81211,0.49171,1.31538,0.84306,0.00991,0.0097624,0.0097624,0.0097624
14,458.377,1.19549,0.7437,0.00627,0.8357,0.77303,0.83656,0.53314,1.24335,0.72046,0.00905,0.0097426,0.0097426,0.0097426
15,490.857,1.21653,0.77069,0.00635,0.85264,0.74109,0.82274,0.52114,1.26432,0.77897,0.00972,0.0097228,0.0097228,0.0097228
16,523.516,1.24778,0.75881,0.00651,0.85537,0.75298,0.82959,0.52532,1.26384,0.73782,0.00922,0.009703,0.009703,0.009703
17,555.933,1.23158,0.75809,0.00656,0.86501,0.73487,0.81867,0.5292,1.27216,0.78333,0.00922,0.0096832,0.0096832,0.0096832
18,588.648,1.20067,0.71655,0.00634,0.84715,0.78061,0.83901,0.53121,1.28844,0.70942,0.00979,0.0096634,0.0096634,0.0096634
19,621.745,1.23256,0.73976,0.00647,0.86391,0.7325,0.8162,0.52959,1.27268,0.75618,0.00915,0.0096436,0.0096436,0.0096436
20,654.431,1.23753,0.71693,0.00633,0.84739,0.78037,0.83431,0.52885,1.27101,0.73735,0.00923,0.0096238,0.0096238,0.0096238
21,687.269,1.19149,0.69864,0.00643,0.87674,0.76374,0.83647,0.53781,1.25157,0.70795,0.00914,0.009604,0.009604,0.009604
22,719.93,1.20021,0.71004,0.00654,0.84043,0.79595,0.85449,0.54942,1.24421,0.66603,0.00927,0.0095842,0.0095842,0.0095842
23,752.529,1.18183,0.68647,0.00636,0.85983,0.78046,0.85187,0.55178,1.25014,0.6544,0.00895,0.0095644,0.0095644,0.0095644
24,785.105,1.20832,0.71393,0.00655,0.85527,0.75266,0.81963,0.50896,1.3289,0.74888,0.01004,0.0095446,0.0095446,0.0095446
25,817.679,1.2077,0.69962,0.00652,0.87431,0.75987,0.84219,0.53635,1.25915,0.72282,0.0093,0.0095248,0.0095248,0.0095248
26,850.344,1.18565,0.69933,0.00654,0.85007,0.78223,0.83916,0.53642,1.28471,0.67615,0.00988,0.009505,0.009505,0.009505
27,882.918,1.19256,0.68896,0.00635,0.87969,0.78117,0.86287,0.55512,1.22523,0.64545,0.00883,0.0094852,0.0094852,0.0094852
28,915.391,1.208,0.70735,0.00641,0.86449,0.77197,0.84746,0.54164,1.24996,0.67736,0.00908,0.0094654,0.0094654,0.0094654
29,947.956,1.20576,0.6927,0.00626,0.88619,0.77146,0.84591,0.55353,1.2092,0.64961,0.00883,0.0094456,0.0094456,0.0094456
