epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6837,1.11635,3.11918,0.00499,0.63406,0.55462,0.59061,0.3822,1.08255,1.92738,0.00668,0.00331361,0.00331361,0.0701775
2,74.5197,0.99756,1.29271,0.00441,0.72507,0.6876,0.74536,0.49552,1.05634,1.24643,0.00678,0.00663378,0.00663378,0.0401644
3,107.589,1.02074,1.03675,0.0046,0.73972,0.71712,0.77417,0.49959,1.21757,1.1427,0.00847,0.00994075,0.00994075,0.010138
4,140.555,1.07041,0.98054,0.00527,0.78153,0.70314,0.78454,0.51063,1.18811,1.03255,0.00824,0.0099406,0.0099406,0.0099406
5,173.962,1.13261,0.94611,0.00551,0.78012,0.70526,0.77789,0.50441,1.25735,1.00905,0.00957,0.0099208,0.0099208,0.0099208
6,207.224,1.14975,0.90956,0.00571,0.79306,0.70914,0.78414,0.50034,1.24672,0.971,0.00885,0.009901,0.009901,0.009901
7,240.377,1.16138,0.87846,0.00545,0.76827,0.72414,0.78096,0.4924,1.26242,0.99111,0.00889,0.0098812,0.0098812,0.0098812
8,273.501,1.14393,0.86293,0.00596,0.8112,0.71991,0.8032,0.50011,1.26816,0.95868,0.00888,0.0098614,0.0098614,0.0098614
9,306.472,1.16839,0.84189,0.00593,0.81367,0.71839,0.80727,0.51446,1.22856,0.9195,0.00873,0.0098416,0.0098416,0.0098416
10,339.708,1.15533,0.81555,0.00589,0.81667,0.71451,0.79549,0.5084,1.38605,0.93391,0.01092,0.0098218,0.0098218,0.0098218
11,372.847,1.1617,0.8139,0.00597,0.82955,0.74827,0.82392,0.53599,1.20522,0.82061,0.00832,0.009802,0.009802,0.009802
12,405.944,1.1742,0.80066,0.00596,0.81772,0.75106,0.83388,0.5341,1.22029,0.79194,0.0084,0.0097822,0.0097822,0.0097822
13,439.022,1.14586,0.78264,0.00588,0.80778,0.73558,0.7967,0.51751,1.23435,0.86949,0.00866,0.0097624,0.0097624,0.0097624
14,472.066,1.14895,0.75524,0.00569,0.84358,0.75161,0.82654,0.52943,1.26281,0.80769,0.00883,0.0097426,0.0097426,0.0097426
15,505.252,1.16392,0.76581,0.00571,0.84943,0.74505,0.83278,0.53868,1.23183,0.78285,0.00847,0.0097228,0.0097228,0.0097228
16,538.858,1.18824,0.75647,0.00586,0.82996,0.75526,0.81981,0.53598,1.25574,0.79669,0.00901,0.009703,0.009703,0.009703
