epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9216,1.08265,3.07849,0.00488,0.58465,0.48514,0.51872,0.33426,1.05639,2.07283,0.00666,0.00331361,0.00331361,0.0701775
2,70.6218,0.97982,1.31024,0.00435,0.67498,0.66299,0.71254,0.49039,1.03911,1.27213,0.00669,0.00663378,0.00663378,0.0401644
3,101.392,1.02808,1.04064,0.00464,0.71717,0.71751,0.76345,0.50379,1.17752,1.11312,0.00802,0.00994075,0.00994075,0.010138
4,131.438,1.07128,0.99704,0.00528,0.80259,0.6795,0.76769,0.49231,1.22595,1.07645,0.00847,0.0099406,0.0099406,0.0099406
5,161.977,1.12518,0.92981,0.00551,0.77695,0.71219,0.78587,0.49455,1.28994,1.06505,0.00952,0.0099208,0.0099208,0.0099208
6,192.293,1.14744,0.909,0.00579,0.79328,0.7535,0.80747,0.53163,1.19497,0.941,0.00855,0.009901,0.009901,0.009901
7,222.507,1.17579,0.88622,0.00561,0.81331,0.74336,0.81037,0.51686,1.23538,0.95153,0.00876,0.0098812,0.0098812,0.0098812
8,252.739,1.16106,0.86121,0.00611,0.7651,0.73625,0.77951,0.47207,1.2955,1.00871,0.00922,0.0098614,0.0098614,0.0098614
9,283.133,1.18542,0.84855,0.00607,0.79841,0.7397,0.78587,0.49285,1.29,1.00403,0.00908,0.0098416,0.0098416,0.0098416
10,313.693,1.16608,0.82829,0.00593,0.81663,0.74868,0.80736,0.53001,1.23914,0.87769,0.00923,0.0098218,0.0098218,0.0098218
11,344.073,1.15903,0.81676,0.00601,0.81968,0.74461,0.80895,0.50992,1.22739,0.91633,0.00888,0.009802,0.009802,0.009802
12,374.465,1.18279,0.82324,0.00598,0.78564,0.73628,0.81147,0.52764,1.21098,0.84184,0.00857,0.0097822,0.0097822,0.0097822
13,405.009,1.15826,0.79254,0.00601,0.83075,0.75956,0.82074,0.51931,1.25913,0.87074,0.00896,0.0097624,0.0097624,0.0097624
14,435.661,1.17366,0.76673,0.00591,0.81816,0.75016,0.82438,0.52777,1.24433,0.79657,0.00909,0.0097426,0.0097426,0.0097426
15,465.969,1.18446,0.79758,0.00598,0.82408,0.76655,0.82698,0.53182,1.22396,0.81362,0.00885,0.0097228,0.0097228,0.0097228
16,496.054,1.20501,0.77795,0.00599,0.83321,0.75827,0.83699,0.53459,1.2379,0.75344,0.00909,0.009703,0.009703,0.009703
17,526.074,1.18025,0.77833,0.00593,0.84646,0.73807,0.815,0.51975,1.25366,0.85472,0.00883,0.0096832,0.0096832,0.0096832
18,556.242,1.15274,0.73959,0.00571,0.83771,0.76916,0.83189,0.51808,1.25753,0.74714,0.009,0.0096634,0.0096634,0.0096634
19,586.34,1.19367,0.7666,0.00599,0.82641,0.7713,0.82613,0.53465,1.2175,0.80199,0.00846,0.0096436,0.0096436,0.0096436
20,616.447,1.18342,0.73846,0.00576,0.85152,0.75992,0.83517,0.535,1.23195,0.75042,0.00867,0.0096238,0.0096238,0.0096238
21,646.667,1.14511,0.70856,0.00592,0.84613,0.75907,0.83551,0.54046,1.241,0.75681,0.0089,0.009604,0.009604,0.009604
22,676.913,1.15999,0.70375,0.0059,0.86902,0.77493,0.84894,0.54962,1.18732,0.69937,0.00829,0.0095842,0.0095842,0.0095842
23,707.162,1.13753,0.68215,0.00581,0.87058,0.78493,0.85137,0.56128,1.19054,0.70661,0.00866,0.0095644,0.0095644,0.0095644
24,737.276,1.16694,0.71506,0.006,0.88221,0.76663,0.84569,0.54495,1.22748,0.6939,0.00851,0.0095446,0.0095446,0.0095446
25,767.575,1.15883,0.68648,0.00594,0.87041,0.77497,0.84486,0.54775,1.23303,0.70995,0.00902,0.0095248,0.0095248,0.0095248
26,798.052,1.12831,0.68051,0.00579,0.85464,0.78647,0.84914,0.55744,1.19426,0.67118,0.00832,0.009505,0.009505,0.009505
27,828.593,1.14915,0.66565,0.00572,0.84928,0.77706,0.83986,0.54493,1.19667,0.69382,0.00824,0.0094852,0.0094852,0.0094852
28,858.832,1.17594,0.70067,0.00601,0.84526,0.78074,0.847,0.5541,1.19951,0.68949,0.00839,0.0094654,0.0094654,0.0094654
29,889.044,1.15777,0.6774,0.00574,0.86802,0.7588,0.83929,0.54887,1.2188,0.69917,0.00843,0.0094456,0.0094456,0.0094456
30,919.337,1.12596,0.65108,0.00583,0.89176,0.76039,0.85545,0.55418,1.20866,0.6764,0.0084,0.0094258,0.0094258,0.0094258
31,949.754,1.19002,0.69427,0.00574,0.85143,0.7888,0.84991,0.5472,1.24021,0.66845,0.00877,0.009406,0.009406,0.009406
32,980.08,1.1646,0.66266,0.00575,0.86721,0.7679,0.84455,0.55696,1.21389,0.66582,0.00853,0.0093862,0.0093862,0.0093862
33,1010.44,1.17472,0.67683,0.00575,0.87347,0.76862,0.8478,0.55963,1.19303,0.67578,0.00809,0.0093664,0.0093664,0.0093664
34,1041.06,1.1533,0.67129,0.00576,0.85962,0.79033,0.85673,0.55377,1.22615,0.6764,0.00872,0.0093466,0.0093466,0.0093466
35,1072.02,1.13962,0.63405,0.00563,0.86123,0.78489,0.86031,0.55721,1.22273,0.65481,0.00858,0.0093268,0.0093268,0.0093268
36,1102.96,1.13565,0.64666,0.00583,0.86686,0.78905,0.85976,0.56181,1.22617,0.65542,0.00847,0.009307,0.009307,0.009307
37,1133.86,1.13159,0.65678,0.00584,0.88093,0.79419,0.8627,0.5694,1.16267,0.63761,0.00814,0.0092872,0.0092872,0.0092872
38,1164.58,1.1597,0.6536,0.0056,0.87689,0.78888,0.86465,0.56228,1.19699,0.63955,0.0085,0.0092674,0.0092674,0.0092674
39,1195.29,1.15156,0.65921,0.00576,0.87324,0.78349,0.85495,0.56435,1.21042,0.64058,0.00858,0.0092476,0.0092476,0.0092476
40,1225.98,1.1637,0.64167,0.0059,0.88937,0.79302,0.86328,0.56492,1.21292,0.62589,0.00856,0.0092278,0.0092278,0.0092278
41,1256.62,1.13272,0.63763,0.00557,0.88863,0.78695,0.86461,0.56975,1.17781,0.66445,0.00822,0.009208,0.009208,0.009208
42,1287.23,1.13298,0.64052,0.00583,0.87287,0.79756,0.86451,0.5714,1.19588,0.63783,0.00849,0.0091882,0.0091882,0.0091882
43,1317.97,1.13755,0.64298,0.00559,0.85971,0.8046,0.86791,0.55821,1.21347,0.62737,0.00857,0.0091684,0.0091684,0.0091684
44,1348.63,1.14836,0.6438,0.00564,0.87258,0.80977,0.87092,0.56868,1.20506,0.61873,0.00832,0.0091486,0.0091486,0.0091486
45,1379.69,1.12771,0.64169,0.00568,0.87785,0.80941,0.86175,0.56357,1.21423,0.65618,0.00855,0.0091288,0.0091288,0.0091288
