epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6193,0.95418,0.45543,0.00414,0.87558,0.78967,0.86507,0.61856,1.11558,0.63207,0.00777,0.00331395,0.00331395,0.0701744
2,67.3943,0.9581,0.46982,0.00413,0.88872,0.78115,0.86733,0.61163,1.13499,0.64674,0.00822,0.00663413,0.00663413,0.0401613
3,99.7588,0.94724,0.47237,0.00456,0.86242,0.78622,0.85548,0.59052,1.16941,0.6524,0.00827,0.0099411,0.0099411,0.0101349
4,132.82,1.04782,0.51322,0.0049,0.85636,0.7702,0.84292,0.57629,1.22071,0.69282,0.00875,0.0099406,0.0099406,0.0099406
5,165.485,1.0903,0.55859,0.00533,0.87043,0.75711,0.83897,0.56658,1.25391,0.74697,0.00943,0.0099208,0.0099208,0.0099208
6,198.102,1.10872,0.58737,0.00554,0.87855,0.76593,0.84997,0.56486,1.25226,0.68555,0.00926,0.009901,0.009901,0.009901
7,230.686,1.1433,0.58421,0.00557,0.89317,0.73018,0.82023,0.5378,1.32203,0.77543,0.01011,0.0098812,0.0098812,0.0098812
8,263.428,1.12307,0.57758,0.00572,0.86174,0.77388,0.84541,0.55908,1.26589,0.69826,0.00935,0.0098614,0.0098614,0.0098614
9,296.088,1.143,0.58,0.00556,0.86159,0.76514,0.84049,0.54734,1.29757,0.68218,0.00928,0.0098416,0.0098416,0.0098416
10,328.745,1.13186,0.59303,0.00588,0.86001,0.76378,0.83477,0.55279,1.2897,0.7083,0.00957,0.0098218,0.0098218,0.0098218
11,361.578,1.12162,0.57634,0.00573,0.86445,0.75129,0.83762,0.55349,1.27409,0.68879,0.00967,0.009802,0.009802,0.009802
12,394.125,1.1648,0.61102,0.00569,0.86062,0.7697,0.83811,0.56123,1.26646,0.72111,0.00956,0.0097822,0.0097822,0.0097822
13,426.779,1.13697,0.58147,0.00573,0.85036,0.74248,0.82357,0.55557,1.2677,0.72904,0.00959,0.0097624,0.0097624,0.0097624
14,459.589,1.16285,0.59035,0.00567,0.87232,0.74812,0.8256,0.54391,1.3116,0.77653,0.01046,0.0097426,0.0097426,0.0097426
15,492.551,1.14643,0.58697,0.00578,0.85679,0.77305,0.84244,0.56073,1.25017,0.69328,0.00935,0.0097228,0.0097228,0.0097228
16,525.185,1.14793,0.6009,0.00598,0.85763,0.77785,0.85555,0.56807,1.26056,0.64865,0.00945,0.009703,0.009703,0.009703
17,558.009,1.1461,0.59653,0.00582,0.87764,0.72561,0.82113,0.54001,1.30361,0.75624,0.01003,0.0096832,0.0096832,0.0096832
18,590.731,1.16766,0.62549,0.0059,0.8698,0.73908,0.82258,0.54252,1.29702,0.75483,0.00995,0.0096634,0.0096634,0.0096634
19,623.387,1.14284,0.60205,0.00593,0.87536,0.75285,0.83569,0.55555,1.27478,0.73716,0.00929,0.0096436,0.0096436,0.0096436
20,656.285,1.16132,0.59143,0.0057,0.87253,0.75064,0.83767,0.55637,1.27204,0.73453,0.0095,0.0096238,0.0096238,0.0096238
21,689.07,1.17265,0.60899,0.00594,0.86919,0.75521,0.83632,0.55547,1.26963,0.70793,0.00955,0.009604,0.009604,0.009604
22,721.741,1.12571,0.59949,0.00583,0.86945,0.75867,0.84224,0.5581,1.27947,0.69342,0.00962,0.0095842,0.0095842,0.0095842
23,754.355,1.1682,0.59945,0.00577,0.85326,0.75875,0.84087,0.55492,1.2742,0.71435,0.00981,0.0095644,0.0095644,0.0095644
24,786.763,1.14427,0.60468,0.00585,0.86213,0.75563,0.83678,0.56101,1.25837,0.71871,0.00947,0.0095446,0.0095446,0.0095446
25,819.288,1.17727,0.60629,0.00575,0.85691,0.75784,0.83839,0.55372,1.28739,0.70373,0.00997,0.0095248,0.0095248,0.0095248
26,852.187,1.13202,0.59554,0.00584,0.86946,0.7501,0.83791,0.55813,1.27537,0.71454,0.00975,0.009505,0.009505,0.009505
27,884.576,1.12173,0.59332,0.00581,0.87023,0.73556,0.83165,0.55823,1.26662,0.68411,0.00958,0.0094852,0.0094852,0.0094852
28,917.101,1.17411,0.61181,0.00578,0.85975,0.76212,0.84242,0.56731,1.2512,0.68101,0.00925,0.0094654,0.0094654,0.0094654
29,949.586,1.13542,0.59198,0.00568,0.86694,0.76631,0.84473,0.55972,1.28056,0.7116,0.00967,0.0094456,0.0094456,0.0094456
30,981.992,1.13875,0.60406,0.00576,0.84928,0.75638,0.83606,0.56412,1.24568,0.69192,0.00922,0.0094258,0.0094258,0.0094258
31,1014.45,1.14574,0.58391,0.0059,0.8536,0.7471,0.83717,0.55302,1.28462,0.65575,0.00964,0.009406,0.009406,0.009406
32,1047.06,1.13959,0.58054,0.00572,0.8604,0.74284,0.83391,0.54992,1.29109,0.6869,0.01013,0.0093862,0.0093862,0.0093862
33,1079.49,1.16267,0.60467,0.00585,0.87866,0.76306,0.8488,0.57307,1.2391,0.65797,0.00915,0.0093664,0.0093664,0.0093664
34,1111.93,1.1606,0.60584,0.00572,0.87817,0.7785,0.85303,0.56695,1.24709,0.67155,0.00919,0.0093466,0.0093466,0.0093466
35,1144.46,1.15603,0.58163,0.0056,0.87224,0.75494,0.84034,0.56495,1.2546,0.70192,0.00924,0.0093268,0.0093268,0.0093268
36,1176.98,1.15632,0.59888,0.00584,0.85231,0.7627,0.84732,0.56053,1.25301,0.67642,0.00942,0.009307,0.009307,0.009307
37,1209.98,1.16441,0.60057,0.00571,0.87526,0.76069,0.8515,0.56625,1.23634,0.65992,0.00921,0.0092872,0.0092872,0.0092872
38,1242.52,1.14852,0.60095,0.00575,0.8529,0.76004,0.84401,0.55357,1.27024,0.67665,0.00918,0.0092674,0.0092674,0.0092674
39,1275.02,1.15592,0.61438,0.00574,0.87942,0.75924,0.84811,0.5685,1.24593,0.63786,0.00908,0.0092476,0.0092476,0.0092476
40,1307.4,1.17512,0.61638,0.00588,0.87012,0.76453,0.84809,0.56515,1.25577,0.66441,0.00916,0.0092278,0.0092278,0.0092278
