epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,186.586,0.97353,2.71107,0.00406,0.55697,0.46112,0.49585,0.32269,1.04212,2.10573,0.00632,0.00331361,0.00331361,0.0701775
2,355.451,0.9193,1.3002,0.00431,0.66063,0.65966,0.6832,0.45722,1.05824,1.25209,0.00665,0.00663378,0.00663378,0.0401644
3,523.292,0.9813,1.03895,0.00453,0.70719,0.69898,0.75348,0.4936,1.09438,1.05416,0.00691,0.00994075,0.00994075,0.010138
4,686.084,1.01591,0.92728,0.00481,0.74917,0.72275,0.77562,0.50653,1.15309,0.98739,0.00762,0.0099406,0.0099406,0.0099406
5,849.44,1.07403,0.87301,0.00498,0.78107,0.73608,0.80461,0.51658,1.15659,0.9123,0.00795,0.0099208,0.0099208,0.0099208
6,1011.95,1.11016,0.85811,0.00528,0.74987,0.73348,0.78792,0.51674,1.19353,0.93092,0.00792,0.009901,0.009901,0.009901
7,1172.88,1.10492,0.80509,0.00552,0.82163,0.75415,0.824,0.53076,1.16275,0.81168,0.00769,0.0098812,0.0098812,0.0098812
8,1350.72,1.10532,0.80912,0.00563,0.8238,0.73868,0.81661,0.52812,1.17803,0.80057,0.00781,0.0098614,0.0098614,0.0098614
9,1532.28,1.1275,0.78222,0.00545,0.81789,0.72008,0.79541,0.48735,1.26413,0.88534,0.00902,0.0098416,0.0098416,0.0098416
10,1717.18,1.1077,0.76466,0.00528,0.81931,0.72403,0.78596,0.48483,1.33261,0.88379,0.00937,0.0098218,0.0098218,0.0098218
11,1898.88,1.14684,0.76597,0.00562,0.82652,0.75192,0.8222,0.53252,1.18239,0.75419,0.00782,0.009802,0.009802,0.009802
12,2084.67,1.1235,0.75233,0.00546,0.80449,0.73939,0.80843,0.52318,1.21617,0.79819,0.00803,0.0097822,0.0097822,0.0097822
13,2266.38,1.12272,0.73024,0.00541,0.84268,0.73775,0.82183,0.53367,1.19822,0.74108,0.00821,0.0097624,0.0097624,0.0097624
14,2448.66,1.10823,0.71462,0.00557,0.84498,0.76133,0.83167,0.53695,1.19423,0.70566,0.00781,0.0097426,0.0097426,0.0097426
15,2626.65,1.13774,0.74041,0.0054,0.83708,0.73841,0.82457,0.52696,1.19861,0.75396,0.00805,0.0097228,0.0097228,0.0097228
16,2802.09,1.14244,0.72554,0.00568,0.84169,0.76145,0.834,0.53435,1.21816,0.72573,0.00844,0.009703,0.009703,0.009703
