epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,52.6192,2.05825,5.47858,0.01476,0.6205,0.06245,0.04967,0.01621,2.0773,4.1824,0.01937,0.00994186,0.00331395,0.00994186,0.00331395,0.00994186,0.00331395,0.00994186,0.00331395
2,92.8371,1.95206,3.87825,0.01306,0.25485,0.16302,0.13007,0.04855,2.05977,3.00994,0.01937,0.0199024,0.00663413,0.0199024,0.00663413,0.0199024,0.00663413,0.0199024,0.00663413
3,130.058,1.95989,3.05159,0.01398,0.23166,0.19823,0.14471,0.05215,2.1614,3.17383,0.02094,0.0298233,0.0099411,0.0298233,0.0099411,0.0298233,0.0099411,0.0298233,0.0099411
4,165.18,2.07167,2.8616,0.01478,0.40635,0.23707,0.21375,0.08514,2.17054,2.83448,0.02208,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,200.054,2.05932,2.59825,0.01493,0.36523,0.30023,0.25922,0.10593,2.12468,2.6549,0.02075,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,234.905,2.05289,2.48173,0.01453,0.40227,0.32037,0.28061,0.11333,2.16105,2.47553,0.02121,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,269.697,2.03389,2.31392,0.01384,0.47939,0.36742,0.34973,0.15643,2.05197,2.19556,0.01986,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,304.632,2.01537,2.22379,0.01433,0.50508,0.37403,0.36546,0.15342,2.10496,2.26482,0.02015,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,339.5,1.99261,2.1159,0.01356,0.56787,0.40724,0.42606,0.1868,2.00383,2.08775,0.01886,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,374.274,1.95626,2.02478,0.01384,0.56384,0.44548,0.44824,0.21286,2.00886,1.82208,0.01876,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
