epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7636,3.71294,7.63278,0.03819,0.00087,0.05239,8e-05,2e-05,3.80641,10.3955,0.04869,0.000331395,0.000331395,0.0671919
2,81.8031,3.77433,6.99731,0.03916,0.00065,0.06006,9e-05,1e-05,3.83282,10.4267,0.04956,0.000664722,0.000664722,0.0341919
3,118.272,3.69434,6.61383,0.03956,0.00065,0.05673,6e-05,1e-05,3.85978,9.65449,0.04964,0.000998023,0.000998023,0.00119182
4,154.73,3.71916,6.54568,0.03867,0.00066,0.05885,8e-05,2e-05,3.82461,9.52746,0.04917,0.000999912,0.000999912,0.000999912
5,191.106,3.71872,6.51949,0.03959,0.0006,0.05432,6e-05,1e-05,3.81153,9.29784,0.04886,0.000999844,0.000999844,0.000999844
6,227.563,3.70224,6.41257,0.03846,0.00065,0.05514,8e-05,1e-05,3.80935,9.0532,0.04908,0.000999756,0.000999756,0.000999756
7,263.98,3.7101,6.31351,0.03805,0.00079,0.06334,0.0001,2e-05,3.8037,8.98925,0.04921,0.000999648,0.000999648,0.000999648
8,300.717,3.69177,6.32477,0.03882,0.00071,0.05268,6e-05,1e-05,3.77582,8.82163,0.04827,0.000999521,0.000999521,0.000999521
9,337.057,3.67223,6.19516,0.03746,0.00058,0.04868,0.00011,3e-05,3.73459,8.53202,0.04748,0.000999375,0.000999375,0.000999375
10,373.722,3.64316,6.14466,0.03851,0.00075,0.06088,0.00013,3e-05,3.69479,8.17874,0.04727,0.000999209,0.000999209,0.000999209
11,410.257,3.59192,5.78955,0.03668,0.00087,0.07306,0.00058,0.0001,3.60177,7.71917,0.04601,0.000999023,0.000999023,0.000999023
12,446.838,3.52778,5.52908,0.03489,0.57558,0.01735,0.00939,0.00204,3.48268,7.16517,0.04416,0.000998818,0.000998818,0.000998818
13,483.568,3.40309,5.07014,0.03391,0.65335,0.02197,0.01865,0.00419,3.37358,6.49584,0.04278,0.000998594,0.000998594,0.000998594
