epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0346,3.6552,5.69543,0.03722,0.0148,0.03691,0.00304,0.00056,3.51933,5.50265,0.04524,0.00331395,0.00331395,0.0701744
2,65.7821,3.18906,3.62469,0.03094,0.13782,0.1997,0.0691,0.01662,2.85635,4.07572,0.03313,0.00663413,0.00663413,0.0401613
3,93.4779,2.58674,2.66126,0.02286,0.1965,0.29834,0.12002,0.0373,2.3624,3.21295,0.02455,0.0099411,0.0099411,0.0101349
4,121.216,2.37261,2.29171,0.01887,0.43047,0.34671,0.33075,0.10887,2.26245,2.40212,0.02381,0.0099406,0.0099406,0.0099406
5,149.423,2.17738,2.04574,0.01673,0.47513,0.44708,0.40368,0.14815,2.10919,2.09299,0.02138,0.0099208,0.0099208,0.0099208
6,177.426,2.08305,1.86244,0.01535,0.522,0.46698,0.46298,0.19923,1.96458,1.88778,0.01833,0.009901,0.009901,0.009901
7,205.527,2.01994,1.67894,0.01423,0.61153,0.50443,0.54306,0.24789,1.87428,1.67997,0.01846,0.0098812,0.0098812,0.0098812
8,234.044,1.95037,1.61304,0.01427,0.6012,0.51137,0.54929,0.25271,1.87238,1.65396,0.01776,0.0098614,0.0098614,0.0098614
9,262.557,1.91445,1.48746,0.0132,0.64041,0.56695,0.60034,0.28866,1.80067,1.45038,0.01709,0.0098416,0.0098416,0.0098416
10,290.644,1.87488,1.41306,0.01359,0.67133,0.58206,0.61898,0.30096,1.8177,1.38977,0.01736,0.0098218,0.0098218,0.0098218
11,319.053,1.84479,1.31053,0.01291,0.68324,0.57773,0.63273,0.31723,1.79437,1.34361,0.01658,0.009802,0.009802,0.009802
12,347.142,1.82036,1.3034,0.01211,0.68467,0.6214,0.66113,0.32902,1.73719,1.29731,0.01574,0.0097822,0.0097822,0.0097822
13,375.275,1.79006,1.22752,0.01217,0.71205,0.6172,0.67388,0.35974,1.70141,1.20581,0.01601,0.0097624,0.0097624,0.0097624
14,403.368,1.77192,1.21684,0.0116,0.71161,0.57101,0.64265,0.30526,1.84396,1.37389,0.01667,0.0097426,0.0097426,0.0097426
15,431.472,1.74367,1.17568,0.01162,0.75695,0.63485,0.71235,0.37129,1.68011,1.1147,0.01544,0.0097228,0.0097228,0.0097228
16,459.6,1.72407,1.1605,0.0116,0.76534,0.6217,0.69745,0.36886,1.66786,1.15948,0.01552,0.009703,0.009703,0.009703
17,487.73,1.70416,1.13243,0.01122,0.73768,0.63839,0.706,0.37271,1.66768,1.06992,0.01506,0.0096832,0.0096832,0.0096832
18,515.844,1.71434,1.14431,0.01111,0.72458,0.61554,0.67679,0.37425,1.68371,1.12598,0.0157,0.0096634,0.0096634,0.0096634
19,544.068,1.67339,1.09563,0.0112,0.76531,0.64898,0.71641,0.38851,1.63459,1.10313,0.01455,0.0096436,0.0096436,0.0096436
20,572.15,1.69858,1.06709,0.0108,0.78229,0.653,0.72415,0.39513,1.62605,1.02981,0.0148,0.0096238,0.0096238,0.0096238
21,600.163,1.67755,1.05399,0.01076,0.77726,0.65419,0.72184,0.39554,1.57386,1.01565,0.01388,0.009604,0.009604,0.009604
22,628.29,1.62655,1.03201,0.01061,0.77652,0.65767,0.742,0.4096,1.61037,1.02091,0.01479,0.0095842,0.0095842,0.0095842
23,656.508,1.64261,1.04608,0.01021,0.76052,0.66265,0.72748,0.40791,1.57207,1.06304,0.01374,0.0095644,0.0095644,0.0095644
24,684.615,1.60508,1.02808,0.01023,0.74327,0.67617,0.73792,0.40349,1.573,1.01432,0.01355,0.0095446,0.0095446,0.0095446
25,712.417,1.64071,1.01135,0.00998,0.77089,0.67431,0.74595,0.40619,1.59011,0.97117,0.01412,0.0095248,0.0095248,0.0095248
26,739.377,1.61029,0.98112,0.01016,0.77085,0.67433,0.74415,0.42039,1.57619,0.95271,0.01424,0.009505,0.009505,0.009505
27,766.201,1.57878,0.98154,0.01014,0.77369,0.66384,0.73958,0.41908,1.56092,0.96573,0.01388,0.0094852,0.0094852,0.0094852
28,792.714,1.60094,0.97137,0.00978,0.74141,0.67371,0.73717,0.40274,1.59291,0.94982,0.01432,0.0094654,0.0094654,0.0094654
29,819.151,1.55912,0.94725,0.00963,0.79338,0.66981,0.753,0.42164,1.55233,0.93531,0.01365,0.0094456,0.0094456,0.0094456
30,845.682,1.55693,0.93738,0.0097,0.74469,0.6864,0.7375,0.40992,1.59711,0.97282,0.01425,0.0094258,0.0094258,0.0094258
31,872.564,1.54509,0.92907,0.00967,0.7822,0.6794,0.75315,0.43567,1.50763,0.90595,0.01279,0.009406,0.009406,0.009406
32,899.099,1.54008,0.9183,0.00947,0.80677,0.69034,0.765,0.43717,1.53911,0.90311,0.01291,0.0093862,0.0093862,0.0093862
33,925.573,1.55286,0.94298,0.0094,0.78898,0.67721,0.75319,0.42806,1.54139,0.92249,0.01359,0.0093664,0.0093664,0.0093664
34,952.094,1.56002,0.92568,0.00942,0.7775,0.72142,0.77534,0.44552,1.52346,0.87194,0.01314,0.0093466,0.0093466,0.0093466
35,978.86,1.55228,0.90128,0.00919,0.79059,0.7093,0.77263,0.44451,1.50571,0.88322,0.01301,0.0093268,0.0093268,0.0093268
36,1005.26,1.54883,0.9046,0.00957,0.80899,0.67781,0.77559,0.43406,1.54848,0.88567,0.01333,0.009307,0.009307,0.009307
37,1031.75,1.54316,0.88585,0.00914,0.78442,0.71219,0.78171,0.452,1.48809,0.87832,0.0125,0.0092872,0.0092872,0.0092872
38,1058.17,1.52953,0.91226,0.00913,0.80259,0.69608,0.76816,0.44154,1.51424,0.84376,0.01295,0.0092674,0.0092674,0.0092674
39,1084.78,1.54173,0.89094,0.0092,0.77929,0.6957,0.76292,0.44507,1.51239,0.83822,0.01271,0.0092476,0.0092476,0.0092476
40,1111.12,1.54359,0.88151,0.00916,0.80702,0.69677,0.77539,0.43894,1.52608,0.87037,0.01334,0.0092278,0.0092278,0.0092278
41,1137.66,1.53922,0.89957,0.00907,0.751,0.71461,0.76527,0.44129,1.50699,0.8832,0.01342,0.009208,0.009208,0.009208
42,1164.14,1.4821,0.85251,0.00889,0.83343,0.69834,0.78318,0.44912,1.52292,0.87905,0.01342,0.0091882,0.0091882,0.0091882
43,1190.62,1.47925,0.86861,0.00917,0.80969,0.69391,0.78006,0.45548,1.49057,0.84127,0.01275,0.0091684,0.0091684,0.0091684
44,1217.26,1.50711,0.8736,0.00887,0.85436,0.67877,0.78158,0.45373,1.47658,0.86892,0.01254,0.0091486,0.0091486,0.0091486
45,1243.99,1.47278,0.85273,0.00874,0.80035,0.70562,0.77513,0.45094,1.50252,0.85452,0.01282,0.0091288,0.0091288,0.0091288
46,1270.3,1.48049,0.85049,0.00869,0.79515,0.7226,0.78563,0.46884,1.44576,0.81341,0.01224,0.009109,0.009109,0.009109
47,1296.81,1.45193,0.81972,0.00868,0.81421,0.70036,0.7846,0.45962,1.48133,0.84363,0.01299,0.0090892,0.0090892,0.0090892
48,1323.24,1.46518,0.82432,0.00882,0.81772,0.71662,0.79404,0.46133,1.45979,0.86441,0.01228,0.0090694,0.0090694,0.0090694
49,1349.7,1.47264,0.85019,0.00866,0.80786,0.72033,0.78751,0.46109,1.48175,0.86239,0.01261,0.0090496,0.0090496,0.0090496
50,1376.13,1.47528,0.8427,0.00866,0.84145,0.70296,0.78899,0.4626,1.46594,0.87627,0.01207,0.0090298,0.0090298,0.0090298
51,1402.6,1.4736,0.8354,0.00862,0.81386,0.73972,0.80713,0.47141,1.45435,0.78904,0.01214,0.00901,0.00901,0.00901
52,1429.07,1.44838,0.8279,0.00885,0.83296,0.71816,0.78974,0.45996,1.49132,0.838,0.0127,0.0089902,0.0089902,0.0089902
53,1455.68,1.4497,0.83381,0.00875,0.81385,0.70485,0.78662,0.46976,1.44326,0.85206,0.01236,0.0089704,0.0089704,0.0089704
54,1481.93,1.46878,0.84094,0.0083,0.81608,0.72134,0.79222,0.47088,1.46322,0.80147,0.01259,0.0089506,0.0089506,0.0089506
55,1508.26,1.45177,0.83808,0.00863,0.826,0.7243,0.79222,0.46548,1.4456,0.80955,0.01221,0.0089308,0.0089308,0.0089308
56,1534.58,1.48593,0.85506,0.00861,0.82207,0.70281,0.7843,0.46925,1.43395,0.83537,0.01201,0.008911,0.008911,0.008911
57,1561.1,1.44251,0.82141,0.00851,0.8175,0.71584,0.79291,0.48167,1.41277,0.77044,0.0118,0.0088912,0.0088912,0.0088912
58,1587.72,1.46571,0.80186,0.00823,0.81241,0.70004,0.77645,0.45292,1.45772,0.82675,0.01198,0.0088714,0.0088714,0.0088714
59,1614.11,1.4273,0.77824,0.00833,0.82409,0.73187,0.80241,0.48034,1.44795,0.778,0.01248,0.0088516,0.0088516,0.0088516
60,1640.67,1.45353,0.77576,0.00821,0.81319,0.74101,0.79925,0.4778,1.44959,0.80492,0.0122,0.0088318,0.0088318,0.0088318
61,1667.1,1.43216,0.80801,0.00858,0.83278,0.71903,0.79811,0.48143,1.41712,0.7921,0.01159,0.008812,0.008812,0.008812
62,1693.43,1.42366,0.79233,0.00813,0.81145,0.72799,0.79415,0.47135,1.41998,0.81826,0.01172,0.0087922,0.0087922,0.0087922
63,1719.84,1.41532,0.78197,0.00814,0.84126,0.74164,0.80747,0.48491,1.40931,0.76448,0.01162,0.0087724,0.0087724,0.0087724
64,1746.36,1.42199,0.79625,0.00824,0.82435,0.71628,0.80078,0.48208,1.42038,0.74131,0.01178,0.0087526,0.0087526,0.0087526
65,1772.72,1.41661,0.79938,0.00828,0.82357,0.7359,0.80181,0.4881,1.41775,0.76774,0.0118,0.0087328,0.0087328,0.0087328
66,1799.29,1.41791,0.7832,0.00791,0.83964,0.72895,0.80737,0.48943,1.40949,0.76276,0.01207,0.008713,0.008713,0.008713
67,1825.79,1.39917,0.75756,0.00808,0.84463,0.73218,0.81198,0.48596,1.41336,0.76923,0.01189,0.0086932,0.0086932,0.0086932
68,1852.22,1.43047,0.79539,0.0082,0.83882,0.73348,0.80038,0.48492,1.40137,0.77416,0.01165,0.0086734,0.0086734,0.0086734
69,1878.65,1.4247,0.79276,0.00815,0.85007,0.74381,0.81563,0.48539,1.42784,0.77451,0.01194,0.0086536,0.0086536,0.0086536
70,1905.07,1.41297,0.74905,0.00773,0.8538,0.74076,0.81716,0.49737,1.38265,0.75574,0.01169,0.0086338,0.0086338,0.0086338
71,1931.58,1.39024,0.75273,0.00793,0.82752,0.73836,0.8055,0.49013,1.39123,0.77586,0.0117,0.008614,0.008614,0.008614
72,1958.29,1.42353,0.77196,0.00792,0.83451,0.75881,0.81739,0.50854,1.35704,0.74474,0.01107,0.0085942,0.0085942,0.0085942
73,1984.54,1.36954,0.74329,0.0078,0.83221,0.73729,0.80601,0.49406,1.36529,0.75343,0.01104,0.0085744,0.0085744,0.0085744
74,2011.01,1.39073,0.74983,0.00786,0.83583,0.74216,0.81129,0.4841,1.4221,0.76481,0.01174,0.0085546,0.0085546,0.0085546
75,2037.47,1.41026,0.75773,0.00782,0.83156,0.72543,0.80411,0.49924,1.36611,0.74115,0.01121,0.0085348,0.0085348,0.0085348
76,2063.97,1.36954,0.74345,0.00767,0.87326,0.74485,0.82703,0.50746,1.36779,0.71402,0.01128,0.008515,0.008515,0.008515
77,2090.45,1.355,0.73214,0.00788,0.85692,0.73476,0.82125,0.50539,1.36577,0.73678,0.01112,0.0084952,0.0084952,0.0084952
78,2116.85,1.38521,0.74725,0.00771,0.85725,0.75456,0.82506,0.50828,1.35888,0.71464,0.01085,0.0084754,0.0084754,0.0084754
79,2143.1,1.37587,0.75883,0.00801,0.86572,0.71295,0.81321,0.50891,1.35233,0.73621,0.01064,0.0084556,0.0084556,0.0084556
80,2169.64,1.35997,0.73134,0.00774,0.82011,0.75072,0.81473,0.50579,1.36453,0.71797,0.01068,0.0084358,0.0084358,0.0084358
81,2196.17,1.36111,0.71442,0.00772,0.83611,0.74186,0.80906,0.50887,1.34789,0.73664,0.01102,0.008416,0.008416,0.008416
82,2222.63,1.37617,0.73709,0.0075,0.86478,0.7404,0.82787,0.50844,1.35939,0.70936,0.0109,0.0083962,0.0083962,0.0083962
83,2249.05,1.38327,0.74753,0.00772,0.83171,0.75376,0.81952,0.50824,1.3571,0.73373,0.01115,0.0083764,0.0083764,0.0083764
84,2275.56,1.37631,0.75225,0.00786,0.8729,0.73383,0.82351,0.50887,1.34783,0.74611,0.01111,0.0083566,0.0083566,0.0083566
85,2302.26,1.37447,0.73255,0.00756,0.86463,0.73196,0.81724,0.49838,1.36772,0.71946,0.01108,0.0083368,0.0083368,0.0083368
86,2328.84,1.35864,0.73994,0.00782,0.86008,0.75722,0.82737,0.51136,1.36575,0.74058,0.0111,0.008317,0.008317,0.008317
87,2355.27,1.39769,0.76025,0.00758,0.86982,0.73314,0.82189,0.51028,1.34166,0.74149,0.0108,0.0082972,0.0082972,0.0082972
88,2381.74,1.36466,0.73905,0.00755,0.85009,0.75031,0.82489,0.52099,1.31353,0.71908,0.01027,0.0082774,0.0082774,0.0082774
89,2408.35,1.35638,0.74017,0.00782,0.83968,0.74255,0.81907,0.51073,1.34204,0.69856,0.01067,0.0082576,0.0082576,0.0082576
90,2434.8,1.33995,0.7283,0.00754,0.84293,0.76145,0.82771,0.51226,1.35848,0.72245,0.01086,0.0082378,0.0082378,0.0082378
91,2461.15,1.34638,0.72427,0.00751,0.84624,0.74538,0.82318,0.51573,1.33876,0.72647,0.01055,0.008218,0.008218,0.008218
92,2487.59,1.35147,0.73717,0.00755,0.84123,0.77675,0.82978,0.51692,1.32837,0.70008,0.01082,0.0081982,0.0081982,0.0081982
93,2514.13,1.33779,0.72287,0.00744,0.8515,0.75149,0.8251,0.51245,1.32223,0.7232,0.01061,0.0081784,0.0081784,0.0081784
94,2540.48,1.33588,0.71961,0.00771,0.8463,0.75229,0.82224,0.51569,1.3269,0.75374,0.01077,0.0081586,0.0081586,0.0081586
95,2567.03,1.36515,0.73359,0.00759,0.85939,0.74569,0.82814,0.5151,1.34949,0.68781,0.01053,0.0081388,0.0081388,0.0081388
96,2593.46,1.35202,0.71247,0.00766,0.84714,0.75899,0.82692,0.52259,1.34023,0.6995,0.01053,0.008119,0.008119,0.008119
97,2620.06,1.33921,0.71605,0.00736,0.84703,0.75465,0.81928,0.51962,1.32237,0.73631,0.01034,0.0080992,0.0080992,0.0080992
98,2647.23,1.31841,0.71191,0.00753,0.84089,0.74541,0.81855,0.50768,1.35357,0.73903,0.01084,0.0080794,0.0080794,0.0080794
99,2674.23,1.33808,0.70113,0.00745,0.81868,0.7488,0.81582,0.51252,1.33192,0.72743,0.01041,0.0080596,0.0080596,0.0080596
100,2700.58,1.32348,0.70684,0.0074,0.85835,0.752,0.82482,0.51416,1.32233,0.70193,0.01004,0.0080398,0.0080398,0.0080398
101,2727,1.32094,0.72681,0.00739,0.84999,0.74593,0.82229,0.52209,1.30003,0.69031,0.0101,0.00802,0.00802,0.00802
102,2753.4,1.31866,0.69101,0.00723,0.86652,0.73816,0.81714,0.51389,1.34015,0.73297,0.01079,0.0080002,0.0080002,0.0080002
103,2779.8,1.31596,0.70063,0.00729,0.86131,0.75908,0.83472,0.52199,1.31869,0.67726,0.01039,0.0079804,0.0079804,0.0079804
104,2806.23,1.32137,0.70233,0.00728,0.83393,0.76986,0.83134,0.51748,1.30848,0.70958,0.01018,0.0079606,0.0079606,0.0079606
105,2832.85,1.31709,0.68501,0.00695,0.83156,0.76352,0.82156,0.51896,1.31964,0.71364,0.01045,0.0079408,0.0079408,0.0079408
106,2859.33,1.30892,0.68446,0.00711,0.85441,0.76343,0.82433,0.51991,1.30286,0.70506,0.00988,0.007921,0.007921,0.007921
107,2885.98,1.31692,0.67721,0.00688,0.85165,0.75846,0.82878,0.52105,1.31371,0.70994,0.01018,0.0079012,0.0079012,0.0079012
