epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,36.986,3.72077,6.77654,0.03807,0.00081,0.07447,0.00014,3e-05,3.80775,8.25773,0.04818,0.00331395,0.00331395,0.0701744
2,63.0837,3.64951,5.30733,0.03645,0.01269,0.01282,0.00222,0.00043,3.57687,6.44506,0.04533,0.00663413,0.00663413,0.0401613
3,89.068,3.13214,4.02615,0.03051,0.14461,0.13611,0.05499,0.01373,2.91677,4.77389,0.03585,0.0099411,0.0099411,0.0101349
4,114.952,2.73899,3.42688,0.02422,0.19055,0.13828,0.08163,0.02387,2.52168,3.64994,0.02871,0.0099406,0.0099406,0.0099406
5,140.965,2.52078,3.14785,0.022,0.2211,0.20651,0.12129,0.04018,2.43435,3.92074,0.02718,0.0099208,0.0099208,0.0099208
6,166.85,2.38084,2.98562,0.01979,0.28321,0.19573,0.1505,0.05602,2.36774,3.16782,0.02599,0.009901,0.009901,0.009901
7,193.03,2.32527,2.82964,0.01861,0.2893,0.2341,0.15719,0.05581,2.37158,3.20545,0.02804,0.0098812,0.0098812,0.0098812
8,219.74,2.26685,2.76582,0.01837,0.29526,0.22513,0.16821,0.06533,2.3483,3.04601,0.02688,0.0098614,0.0098614,0.0098614
9,245.926,2.2108,2.60675,0.01702,0.3876,0.28187,0.25076,0.09841,2.16922,2.66564,0.02303,0.0098416,0.0098416,0.0098416
10,272.581,2.16475,2.55782,0.01722,0.38217,0.29431,0.25301,0.10088,2.12729,2.59608,0.02195,0.0098218,0.0098218,0.0098218
11,298.892,2.1334,2.40016,0.01652,0.4432,0.33023,0.30063,0.11791,2.1154,2.39808,0.02229,0.009802,0.009802,0.009802
12,324.996,2.13998,2.37467,0.01585,0.43732,0.33244,0.31651,0.12992,2.11345,2.42642,0.02137,0.0097822,0.0097822,0.0097822
13,351.272,2.0954,2.26411,0.01575,0.47462,0.35659,0.34483,0.14675,2.05257,2.23497,0.02085,0.0097624,0.0097624,0.0097624
14,377.525,2.0939,2.22727,0.01521,0.45734,0.38645,0.36504,0.16264,1.99784,2.29981,0.01989,0.0097426,0.0097426,0.0097426
15,403.631,2.05577,2.16018,0.01527,0.47537,0.37507,0.35688,0.1507,2.03018,2.20698,0.02077,0.0097228,0.0097228,0.0097228
16,429.82,2.03285,2.12282,0.01504,0.46589,0.40798,0.37809,0.16984,1.99293,2.07533,0.01991,0.009703,0.009703,0.009703
17,456.132,2.01527,2.06507,0.01479,0.49349,0.39015,0.39342,0.18077,2.01791,2.21957,0.02084,0.0096832,0.0096832,0.0096832
18,482.397,2.02382,2.0524,0.01456,0.54536,0.40764,0.42895,0.19653,1.98239,1.98233,0.01966,0.0096634,0.0096634,0.0096634
19,508.729,1.97583,1.9897,0.01459,0.53447,0.43637,0.43288,0.19774,1.99886,2.01041,0.02011,0.0096436,0.0096436,0.0096436
20,535.545,2.01029,1.97103,0.0144,0.56774,0.45449,0.45518,0.19916,1.93481,1.88439,0.01886,0.0096238,0.0096238,0.0096238
21,561.592,2.00232,1.92662,0.01428,0.57169,0.44462,0.46143,0.20821,1.94116,1.93789,0.01873,0.009604,0.009604,0.009604
22,587.758,1.94528,1.89101,0.01409,0.55684,0.47848,0.48929,0.21833,1.93043,1.76318,0.01811,0.0095842,0.0095842,0.0095842
23,613.951,1.95912,1.85445,0.01342,0.6011,0.47691,0.50367,0.23854,1.90508,1.71343,0.01848,0.0095644,0.0095644,0.0095644
24,640.354,1.94662,1.84239,0.01376,0.58967,0.48269,0.4975,0.24229,1.86826,1.74428,0.0178,0.0095446,0.0095446,0.0095446
25,666.798,1.96859,1.81881,0.01346,0.59446,0.46573,0.48107,0.2295,1.90832,1.79251,0.01832,0.0095248,0.0095248,0.0095248
26,692.94,1.91894,1.75773,0.01365,0.62334,0.49743,0.52689,0.25007,1.8602,1.61507,0.01743,0.009505,0.009505,0.009505
27,719.081,1.90713,1.73231,0.01357,0.59876,0.49011,0.50771,0.24565,1.90704,1.67741,0.01854,0.0094852,0.0094852,0.0094852
28,745.059,1.91921,1.74003,0.01315,0.61396,0.51263,0.53702,0.25887,1.85098,1.64002,0.01759,0.0094654,0.0094654,0.0094654
29,771.206,1.8824,1.69049,0.01321,0.61808,0.52145,0.53969,0.26665,1.83997,1.6046,0.01741,0.0094456,0.0094456,0.0094456
30,797.304,1.86508,1.65297,0.01313,0.62209,0.50929,0.5341,0.25572,1.8885,1.64802,0.01806,0.0094258,0.0094258,0.0094258
31,823.529,1.88097,1.64947,0.01314,0.62336,0.51074,0.54243,0.26863,1.86693,1.54874,0.01749,0.009406,0.009406,0.009406
32,849.718,1.8707,1.62324,0.01299,0.62661,0.49575,0.52607,0.2671,1.88065,1.652,0.01782,0.0093862,0.0093862,0.0093862
33,876.043,1.86776,1.6251,0.01272,0.65126,0.50337,0.56157,0.27934,1.81074,1.51148,0.01714,0.0093664,0.0093664,0.0093664
34,902.243,1.88127,1.62137,0.01265,0.62755,0.52333,0.5634,0.2862,1.79729,1.55793,0.01671,0.0093466,0.0093466,0.0093466
