epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7031,2.86054,4.03704,0.02671,0.2168,0.15937,0.14134,0.04761,2.11672,3.23567,0.0254,0.00331361,0.00331361,0.0701775
2,57.4044,1.94547,2.10832,0.01671,0.45991,0.43939,0.40509,0.18541,1.8324,3.04348,0.02065,0.00663378,0.00663378,0.0401644
3,82.1182,1.7602,1.72024,0.01419,0.56457,0.54074,0.53868,0.2583,1.64578,1.93208,0.01627,0.00994075,0.00994075,0.010138
4,107.329,1.61619,1.50395,0.0127,0.59992,0.56096,0.60265,0.31015,1.65463,1.79597,0.01644,0.0099406,0.0099406,0.0099406
5,132.47,1.54708,1.325,0.01115,0.54849,0.61341,0.56125,0.28802,1.53215,1.79558,0.01456,0.0099208,0.0099208,0.0099208
6,157.32,1.50272,1.21953,0.01084,0.69215,0.6264,0.69727,0.39172,1.53836,1.34755,0.01452,0.009901,0.009901,0.009901
7,182.232,1.47291,1.11034,0.00967,0.72458,0.63491,0.71938,0.39497,1.58295,1.22784,0.01654,0.0098812,0.0098812,0.0098812
8,207.101,1.44186,1.0648,0.01024,0.75338,0.68765,0.74731,0.42719,1.49908,1.16855,0.01372,0.0098614,0.0098614,0.0098614
9,231.967,1.43302,1.00589,0.01001,0.7338,0.66701,0.72407,0.41276,1.51127,1.18013,0.01311,0.0098416,0.0098416,0.0098416
10,256.854,1.4008,0.94876,0.00946,0.74337,0.69539,0.75989,0.43936,1.45296,1.04799,0.01287,0.0098218,0.0098218,0.0098218
11,281.774,1.39183,0.94281,0.00939,0.80788,0.65533,0.77536,0.44879,1.48936,1.01243,0.01358,0.009802,0.009802,0.009802
12,306.826,1.40311,0.92759,0.00926,0.7508,0.70309,0.766,0.44854,1.43618,1.00565,0.01282,0.0097822,0.0097822,0.0097822
13,331.847,1.38216,0.89781,0.00954,0.79557,0.678,0.77193,0.43401,1.49146,0.96822,0.01301,0.0097624,0.0097624,0.0097624
14,356.82,1.36388,0.84092,0.00888,0.7954,0.74039,0.80297,0.48698,1.36382,0.91936,0.01175,0.0097426,0.0097426,0.0097426
15,382.033,1.36783,0.85131,0.00856,0.7961,0.7155,0.78709,0.47431,1.38834,0.88658,0.01224,0.0097228,0.0097228,0.0097228
16,407.505,1.38541,0.84513,0.00858,0.79165,0.72832,0.79637,0.47843,1.415,0.93665,0.01249,0.009703,0.009703,0.009703
17,433.11,1.37537,0.84514,0.00859,0.79081,0.71896,0.79483,0.48413,1.38563,0.87364,0.01185,0.0096832,0.0096832,0.0096832
18,458.567,1.34791,0.809,0.00838,0.78949,0.73405,0.80571,0.47463,1.43448,0.85836,0.01277,0.0096634,0.0096634,0.0096634
