epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.155,3.00368,4.96136,0.02649,0.23644,0.21344,0.13101,0.0454,2.37227,2.78008,0.02882,0.00331395,0.00331395,0.0701744
2,93.9275,2.09143,2.53107,0.01728,0.4659,0.41358,0.39358,0.15969,1.94495,2.21299,0.0216,0.00663413,0.00663413,0.0401613
3,141.345,1.76008,2.05946,0.01456,0.53377,0.49103,0.49822,0.24284,1.71229,1.84705,0.01834,0.0099411,0.0099411,0.0101349
4,188.367,1.64662,1.80321,0.01229,0.52953,0.53566,0.50654,0.2504,1.60635,1.87136,0.01747,0.0099406,0.0099406,0.0099406
5,233.85,1.56483,1.59751,0.01146,0.61323,0.55428,0.59488,0.31958,1.6042,1.51004,0.01613,0.0099208,0.0099208,0.0099208
6,279.184,1.51249,1.4614,0.01079,0.5784,0.55977,0.58252,0.32167,1.55958,1.5857,0.01637,0.009901,0.009901,0.009901
7,323.864,1.48207,1.35059,0.01034,0.66525,0.59173,0.65746,0.35342,1.59298,1.40757,0.01655,0.0098812,0.0098812,0.0098812
8,368.57,1.44815,1.29412,0.01013,0.66302,0.61573,0.66912,0.38589,1.52141,1.29061,0.0144,0.0098614,0.0098614,0.0098614
9,413.034,1.43387,1.20903,0.00962,0.65124,0.62647,0.6582,0.38147,1.47348,1.29187,0.01381,0.0098416,0.0098416,0.0098416
10,457.305,1.42681,1.16976,0.01014,0.67376,0.61628,0.65994,0.3722,1.55347,1.26506,0.01478,0.0098218,0.0098218,0.0098218
11,501.734,1.39322,1.11381,0.00969,0.68229,0.64408,0.68495,0.4084,1.42312,1.1576,0.01378,0.009802,0.009802,0.009802
12,546.213,1.409,1.11276,0.00918,0.71424,0.64683,0.71554,0.42446,1.50839,1.15541,0.01505,0.0097822,0.0097822,0.0097822
13,590.904,1.39638,1.07408,0.00944,0.73297,0.64113,0.7176,0.42377,1.45415,1.11025,0.01384,0.0097624,0.0097624,0.0097624
14,636.384,1.38806,1.05032,0.00892,0.70188,0.68046,0.7309,0.4406,1.45358,1.04808,0.01358,0.0097426,0.0097426,0.0097426
15,681.487,1.38103,1.02888,0.00908,0.74723,0.6385,0.73192,0.43161,1.44841,1.04331,0.01346,0.0097228,0.0097228,0.0097228
16,726.388,1.36037,1.029,0.00918,0.75537,0.68093,0.75886,0.44857,1.44388,1.03459,0.0142,0.009703,0.009703,0.009703
17,771.245,1.36487,0.99154,0.00892,0.75256,0.66009,0.74938,0.45262,1.41589,1.04036,0.01321,0.0096832,0.0096832,0.0096832
18,816.205,1.37192,1.01762,0.00874,0.74195,0.68812,0.75458,0.45501,1.44512,0.97706,0.01369,0.0096634,0.0096634,0.0096634
19,860.988,1.34231,0.98837,0.009,0.7691,0.69137,0.77307,0.46625,1.44289,0.94543,0.01324,0.0096436,0.0096436,0.0096436
20,906.07,1.36888,0.96515,0.00861,0.79716,0.67912,0.77198,0.45562,1.42259,0.93809,0.01295,0.0096238,0.0096238,0.0096238
21,951.069,1.36155,0.96383,0.00862,0.7412,0.68958,0.75721,0.45194,1.41562,0.98247,0.01241,0.009604,0.009604,0.009604
22,996.682,1.32253,0.93374,0.00856,0.76824,0.70037,0.76934,0.46131,1.42102,1.00557,0.01334,0.0095842,0.0095842,0.0095842
23,1041.71,1.35405,0.94679,0.00832,0.75819,0.6888,0.75828,0.46458,1.39676,0.98507,0.01262,0.0095644,0.0095644,0.0095644
24,1086.97,1.33074,0.94462,0.00838,0.73457,0.68144,0.74143,0.46149,1.38913,0.98636,0.0127,0.0095446,0.0095446,0.0095446
25,1131.77,1.35445,0.93166,0.00823,0.77208,0.67988,0.77359,0.4695,1.42038,0.97367,0.01275,0.0095248,0.0095248,0.0095248
26,1176.63,1.32016,0.90793,0.0084,0.7699,0.70848,0.78376,0.46388,1.39803,0.94081,0.0128,0.009505,0.009505,0.009505
27,1221.67,1.30551,0.90535,0.00829,0.7767,0.67485,0.75039,0.45026,1.4411,0.97626,0.01261,0.0094852,0.0094852,0.0094852
