epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5596,3.59339,7.06192,0.03608,0.00062,0.05336,5e-05,1e-05,3.72835,8.25272,0.04691,6.62791e-05,6.62791e-05,0.0669267
2,76.1401,3.64525,5.70983,0.03683,0.00063,0.05485,0.00017,2e-05,3.68288,7.19819,0.0465,0.000132944,0.000132944,0.0336601
3,108.833,3.58517,5.40921,0.03743,0.00072,0.0616,0.00015,4e-05,3.67841,6.86002,0.04627,0.000199605,0.000199605,0.000393403
4,141.248,3.58817,5.39039,0.03625,0.0007,0.06039,7e-05,2e-05,3.67784,6.87221,0.04642,0.000199982,0.000199982,0.000199982
5,173.505,3.56314,5.39138,0.03676,0.00067,0.05683,5e-05,1e-05,3.66522,6.8477,0.04636,0.000199969,0.000199969,0.000199969
6,205.906,3.53136,5.36167,0.0357,0.0007,0.0602,7e-05,1e-05,3.67346,6.82364,0.04658,0.000199951,0.000199951,0.000199951
7,238.015,3.53119,5.33013,0.03503,0.00067,0.05817,8e-05,1e-05,3.63661,6.77905,0.04619,0.00019993,0.00019993,0.00019993
8,270.025,3.52163,5.34846,0.03596,0.00059,0.05311,8e-05,2e-05,3.64598,6.76958,0.04638,0.000199904,0.000199904,0.000199904
9,302.307,3.49246,5.3246,0.03448,0.00072,0.06169,8e-05,2e-05,3.64995,6.74044,0.0463,0.000199875,0.000199875,0.000199875
10,334.899,3.48185,5.35886,0.03599,0.00066,0.0562,0.00012,2e-05,3.63585,6.68623,0.04617,0.000199842,0.000199842,0.000199842
11,367.279,3.45189,5.25161,0.03477,0.00058,0.05118,7e-05,1e-05,3.60383,6.63936,0.04565,0.000199805,0.000199805,0.000199805
12,399.471,3.44808,5.29912,0.03415,0.00058,0.0519,8e-05,2e-05,3.61899,6.59683,0.04595,0.000199764,0.000199764,0.000199764
13,431.917,3.42891,5.2009,0.03477,0.00066,0.05605,0.0001,2e-05,3.58227,6.53669,0.04532,0.000199719,0.000199719,0.000199719
14,464.796,3.43563,5.21663,0.03413,0.00073,0.06155,8e-05,2e-05,3.56786,6.50335,0.04517,0.00019967,0.00019967,0.00019967
15,497.019,3.39215,5.1608,0.03403,0.00071,0.05914,8e-05,2e-05,3.54243,6.45651,0.04464,0.000199617,0.000199617,0.000199617
16,529.493,3.34293,5.13618,0.03341,0.00075,0.06049,9e-05,2e-05,3.48955,6.39733,0.04382,0.000199561,0.000199561,0.000199561
