epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1537,3.27018,6.66367,0.03274,0.00089,0.07914,0.00017,4e-05,3.4067,7.97706,0.04357,0.00331395,0.00331395,0.0701744
2,72.3444,2.73083,5.17604,0.02456,0.00143,0.1244,0.00048,0.00011,2.72559,5.47612,0.03193,0.00663413,0.00663413,0.0401613
3,102.702,2.1441,4.36559,0.0177,0.11518,0.03547,0.02433,0.00673,2.38328,4.70087,0.02595,0.0099411,0.0099411,0.0101349
4,133.146,2.00126,3.73834,0.01464,0.13097,0.08396,0.04828,0.0162,2.16606,4.08524,0.02174,0.0099406,0.0099406,0.0099406
5,163.774,1.95448,3.23439,0.01397,0.27037,0.17538,0.12171,0.05549,1.99188,3.35649,0.01914,0.0099208,0.0099208,0.0099208
6,200.678,1.81234,2.55629,0.01206,0.55323,0.41608,0.42662,0.22625,1.6967,2.18573,0.0148,0.009901,0.009901,0.009901
7,235.64,1.5941,1.8241,0.00944,0.6724,0.51909,0.57966,0.34183,1.51535,1.60597,0.01205,0.0098812,0.0098812,0.0098812
8,270.213,1.45831,1.51046,0.00853,0.68171,0.60347,0.65269,0.39559,1.45223,1.35797,0.01154,0.0098614,0.0098614,0.0098614
9,305.318,1.41043,1.29165,0.00772,0.71502,0.61944,0.67928,0.42005,1.40095,1.20161,0.01105,0.0098416,0.0098416,0.0098416
10,341.035,1.36147,1.18151,0.00784,0.76962,0.64552,0.72157,0.44242,1.39459,1.04257,0.01097,0.0098218,0.0098218,0.0098218
11,374.944,1.33611,1.08269,0.00739,0.77973,0.62305,0.71718,0.43779,1.41034,1.08339,0.01107,0.009802,0.009802,0.009802
12,407.72,1.36059,1.06692,0.00717,0.78726,0.66861,0.74899,0.44813,1.37941,0.98854,0.01038,0.0097822,0.0097822,0.0097822
13,440.352,1.31736,0.99667,0.00708,0.79718,0.67001,0.75312,0.47619,1.31729,0.95883,0.00978,0.0097624,0.0097624,0.0097624
14,473.174,1.33605,0.98892,0.00695,0.78848,0.68119,0.7517,0.47258,1.35211,0.95887,0.01008,0.0097426,0.0097426,0.0097426
15,506.024,1.30149,0.93954,0.00683,0.80714,0.66852,0.75759,0.46844,1.36915,0.92283,0.0105,0.0097228,0.0097228,0.0097228
16,539.823,1.2784,0.9235,0.00691,0.82267,0.6969,0.78483,0.48799,1.31852,0.86338,0.01031,0.009703,0.009703,0.009703
17,573.322,1.29175,0.90173,0.00692,0.81453,0.70734,0.77978,0.495,1.33573,0.86983,0.00997,0.0096832,0.0096832,0.0096832
