epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.5026,3.52145,7.92565,0.03309,0.00054,0.04467,0.0003,7e-05,3.53932,5.42194,0.04442,0.00331395,0.00331395,0.0701744
2,160.321,3.35581,5.27301,0.03133,0.05652,0.02082,0.0096,0.00288,3.32587,4.06434,0.0429,0.00663413,0.00663413,0.0401613
3,232.248,2.99093,4.38682,0.0267,0.08573,0.03976,0.02628,0.00846,2.88453,3.97776,0.03549,0.0099411,0.0099411,0.0101349
4,319.058,2.72777,4.13744,0.02295,0.06049,0.02621,0.01298,0.0036,2.80383,4.07905,0.03412,0.0099406,0.0099406,0.0099406
5,421.674,2.58738,3.95529,0.02174,0.09983,0.09624,0.03458,0.00947,2.49368,4.04777,0.02816,0.0099208,0.0099208,0.0099208
6,493.756,2.45024,3.85099,0.02047,0.18641,0.03181,0.03039,0.009,2.5447,3.66934,0.02938,0.009901,0.009901,0.009901
7,566.008,2.38018,3.75261,0.01907,0.19537,0.11621,0.07441,0.02395,2.31649,3.48938,0.02517,0.0098812,0.0098812,0.0098812
8,638.683,2.32323,3.62485,0.01798,0.20347,0.11419,0.07879,0.02404,2.27483,3.41671,0.02383,0.0098614,0.0098614,0.0098614
9,711.689,2.27191,3.53843,0.01772,0.26173,0.12458,0.08095,0.0246,2.22718,3.44612,0.02365,0.0098416,0.0098416,0.0098416
10,784.782,2.24423,3.46101,0.0168,0.21602,0.16508,0.09606,0.03421,2.17077,3.24722,0.02194,0.0098218,0.0098218,0.0098218
11,857.405,2.20034,3.40153,0.01682,0.23801,0.11948,0.08312,0.0264,2.2713,3.40204,0.02469,0.009802,0.009802,0.009802
12,929.473,2.15635,3.30315,0.01615,0.24523,0.18741,0.12097,0.04221,2.10068,3.09266,0.02176,0.0097822,0.0097822,0.0097822
13,1001.82,2.14352,3.26648,0.01624,0.24405,0.17925,0.1231,0.04398,2.08158,3.12261,0.02132,0.0097624,0.0097624,0.0097624
14,1074.73,2.12779,3.15736,0.01545,0.27514,0.2062,0.15718,0.06049,2.03847,2.98381,0.02041,0.0097426,0.0097426,0.0097426
15,1147.87,2.10124,3.09789,0.01507,0.29141,0.21979,0.16368,0.06187,2.05891,3.00038,0.02128,0.0097228,0.0097228,0.0097228
16,1219.06,2.08955,2.99376,0.01517,0.3079,0.23782,0.1897,0.07536,2.08022,2.78409,0.02094,0.009703,0.009703,0.009703
17,1298.85,2.07601,2.92234,0.01456,0.3368,0.24181,0.20255,0.08066,1.98844,2.82546,0.02023,0.0096832,0.0096832,0.0096832
18,1372.1,2.02604,2.86471,0.01446,0.29358,0.26413,0.17878,0.07239,1.96306,2.86058,0.02004,0.0096634,0.0096634,0.0096634
19,1443.69,2.00516,2.77495,0.01435,0.36705,0.31515,0.25106,0.10751,1.96995,2.62016,0.01932,0.0096436,0.0096436,0.0096436
20,1515.3,2.03339,2.71882,0.01409,0.3605,0.28517,0.22973,0.09248,1.9494,2.68785,0.01903,0.0096238,0.0096238,0.0096238
21,1586.84,1.99232,2.65816,0.01426,0.3557,0.27762,0.23079,0.09666,2.01274,2.61126,0.01949,0.009604,0.009604,0.009604
22,1658.77,1.98858,2.64313,0.01442,0.37517,0.32907,0.26375,0.11487,1.95143,2.49318,0.01965,0.0095842,0.0095842,0.0095842
23,1730.61,1.98581,2.57727,0.0141,0.39072,0.33008,0.28585,0.12594,1.92736,2.41609,0.0192,0.0095644,0.0095644,0.0095644
24,1802.21,1.96256,2.53023,0.01386,0.42701,0.3273,0.30943,0.14706,1.90093,2.34587,0.01883,0.0095446,0.0095446,0.0095446
25,1873.45,1.93733,2.51742,0.01385,0.45593,0.36227,0.3339,0.1427,1.89069,2.26686,0.01831,0.0095248,0.0095248,0.0095248
26,1944.93,1.94807,2.44381,0.01343,0.47679,0.33751,0.32732,0.14867,1.90627,2.3016,0.01822,0.009505,0.009505,0.009505
27,2016.34,1.92244,2.40998,0.01353,0.45812,0.36959,0.35342,0.16709,1.83147,2.19917,0.01741,0.0094852,0.0094852,0.0094852
28,2088.11,1.91077,2.36938,0.0136,0.50265,0.3827,0.36446,0.15987,1.89695,2.25308,0.01851,0.0094654,0.0094654,0.0094654
29,2159.85,1.93433,2.35715,0.01334,0.46694,0.37323,0.36839,0.16726,1.83923,2.16985,0.01745,0.0094456,0.0094456,0.0094456
