epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9796,3.37503,6.56617,0.03097,0.01147,0.0419,0.00363,0.00077,3.17405,19.963,0.03812,0.00331395,0.00331395,0.0701744
2,158.868,2.7876,4.26294,0.02422,0.17101,0.24376,0.0955,0.02566,2.41916,3.03248,0.02648,0.00663413,0.00663413,0.0401613
3,232.292,2.29825,2.83086,0.01822,0.30895,0.3527,0.25904,0.0884,2.11418,2.39203,0.02195,0.0099411,0.0099411,0.0101349
4,320.738,2.03401,2.31353,0.01519,0.39548,0.44177,0.35758,0.1443,1.92356,2.03019,0.0203,0.0099406,0.0099406,0.0099406
5,395.272,1.89032,1.96951,0.01403,0.50381,0.46814,0.46627,0.23189,1.8307,1.66928,0.01802,0.0099208,0.0099208,0.0099208
6,467.909,1.79956,1.73091,0.01334,0.59035,0.53239,0.55727,0.2851,1.71638,1.49421,0.01708,0.009901,0.009901,0.009901
7,540.879,1.73181,1.59386,0.0124,0.59674,0.57462,0.59957,0.3092,1.68755,1.46154,0.01652,0.0098812,0.0098812,0.0098812
8,614.031,1.68762,1.45728,0.01147,0.66891,0.58271,0.62409,0.33106,1.60367,1.3278,0.01542,0.0098614,0.0098614,0.0098614
9,687.114,1.65513,1.36059,0.01148,0.68136,0.60112,0.65912,0.3476,1.5908,1.29169,0.01464,0.0098416,0.0098416,0.0098416
10,760.258,1.62833,1.33106,0.01078,0.71113,0.61068,0.6774,0.38184,1.59697,1.1789,0.01482,0.0098218,0.0098218,0.0098218
11,833.409,1.63302,1.27005,0.01102,0.6996,0.61607,0.67839,0.37799,1.634,1.15907,0.01536,0.009802,0.009802,0.009802
12,906.158,1.55715,1.22146,0.0104,0.73804,0.63239,0.70793,0.39672,1.5442,1.12079,0.01475,0.0097822,0.0097822,0.0097822
13,979.021,1.56363,1.19476,0.0105,0.72837,0.60079,0.68455,0.38691,1.54104,1.19248,0.01365,0.0097624,0.0097624,0.0097624
14,1052.27,1.55667,1.16179,0.01007,0.74578,0.63814,0.71566,0.40698,1.50457,1.0414,0.01402,0.0097426,0.0097426,0.0097426
15,1125.76,1.54298,1.13694,0.00984,0.71639,0.645,0.69474,0.38908,1.55498,1.13768,0.01424,0.0097228,0.0097228,0.0097228
16,1198.51,1.53056,1.1055,0.0099,0.76038,0.66342,0.73936,0.39942,1.55447,1.01529,0.01379,0.009703,0.009703,0.009703
17,1271.69,1.53928,1.09185,0.0095,0.73679,0.65854,0.7306,0.41831,1.52025,1.05975,0.01328,0.0096832,0.0096832,0.0096832
18,1345.02,1.47989,1.04345,0.00936,0.74642,0.66281,0.72775,0.42157,1.46507,1.04206,0.01285,0.0096634,0.0096634,0.0096634
19,1418.07,1.46982,1.02981,0.00935,0.75882,0.65128,0.72191,0.42432,1.49509,1.03265,0.01379,0.0096436,0.0096436,0.0096436
