epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.4151,3.30116,5.11876,0.02946,0.00234,0.08062,0.00135,0.00066,3.1145,4.77464,0.04054,0.000198837,0.000198837,0.0803151
2,161.106,2.91869,4.31294,0.02501,0.00379,0.26084,0.01188,0.00364,2.96026,4.08885,0.03723,0.000398833,0.000398833,0.0605151
3,237.897,2.67293,4.08579,0.02238,0.00755,0.25838,0.02242,0.00679,2.80694,4.07736,0.03541,0.000598814,0.000598814,0.0407151
4,312.948,2.57221,3.93032,0.02021,0.15246,0.03976,0.02618,0.00719,2.70834,4.24148,0.0337,0.000798767,0.000798767,0.020915
5,385.161,2.46665,3.83946,0.0193,0.23099,0.04848,0.03608,0.0103,2.5042,3.86702,0.02836,0.000998681,0.000998681,0.00111496
6,457.39,2.42232,3.7561,0.01845,0.20953,0.08342,0.0462,0.01559,2.32447,3.73932,0.02606,0.000999756,0.000999756,0.000999756
7,529.723,2.35355,3.64264,0.01736,0.15857,0.07176,0.04788,0.01551,2.33902,3.52633,0.02557,0.000999648,0.000999648,0.000999648
8,602.198,2.34594,3.5966,0.01764,0.16948,0.03147,0.03643,0.01174,2.36945,3.80371,0.02635,0.000999521,0.000999521,0.000999521
9,674.732,2.28087,3.49903,0.01652,0.2343,0.12215,0.08197,0.02623,2.28422,3.37958,0.02485,0.000999375,0.000999375,0.000999375
10,746.992,2.23879,3.46669,0.01678,0.18942,0.12502,0.07675,0.02745,2.27048,3.4155,0.02422,0.000999209,0.000999209,0.000999209
11,819.351,2.24986,3.37741,0.01638,0.24324,0.14373,0.10079,0.03423,2.22307,3.24749,0.02356,0.000999023,0.000999023,0.000999023
12,891.445,2.21578,3.33608,0.01566,0.23493,0.14682,0.1052,0.03675,2.14165,3.23975,0.02181,0.000998818,0.000998818,0.000998818
13,964.317,2.20213,3.2529,0.01594,0.27287,0.14844,0.08873,0.03049,2.21481,3.32201,0.02355,0.000998594,0.000998594,0.000998594
14,1036.93,2.19917,3.19478,0.01534,0.23553,0.13578,0.09945,0.03195,2.23925,3.3948,0.02416,0.00099835,0.00099835,0.00099835
15,1109.55,2.17195,3.17746,0.01543,0.22672,0.1631,0.11071,0.03742,2.18728,3.09088,0.02227,0.000998086,0.000998086,0.000998086
16,1189.92,2.16259,3.17148,0.01557,0.2764,0.23144,0.151,0.05501,2.10956,3.05356,0.02235,0.000997803,0.000997803,0.000997803
17,1262.59,2.1596,3.06625,0.01543,0.24618,0.20991,0.12481,0.04755,2.10873,3.09822,0.02132,0.000997501,0.000997501,0.000997501
18,1335.37,2.1369,3.06753,0.0148,0.27813,0.17647,0.14249,0.05637,2.08308,3.0201,0.0215,0.000997179,0.000997179,0.000997179
19,1407.82,2.117,2.99046,0.01513,0.33209,0.24616,0.19447,0.07599,2.0676,2.81496,0.02102,0.000996838,0.000996838,0.000996838
20,1480.51,2.12267,2.95082,0.0148,0.28249,0.23395,0.16633,0.05832,2.09508,2.88585,0.02099,0.000996477,0.000996477,0.000996477
21,1553.72,2.11091,2.91924,0.01484,0.28033,0.26964,0.1807,0.06879,2.06227,2.84291,0.02133,0.000996097,0.000996097,0.000996097
22,1626.24,2.0801,2.87367,0.01457,0.33885,0.23767,0.1926,0.07702,2.06956,2.89514,0.02072,0.000995697,0.000995697,0.000995697
23,1699.2,2.09591,2.78368,0.01384,0.33722,0.25692,0.20568,0.08016,2.03435,2.78338,0.02057,0.000995278,0.000995278,0.000995278
24,1771.62,2.05214,2.75349,0.0142,0.35048,0.2556,0.21122,0.08549,2.05974,2.71571,0.02048,0.00099484,0.00099484,0.00099484
25,1843.89,2.09583,2.7378,0.01402,0.42387,0.2961,0.27376,0.11659,2.00689,2.59178,0.01944,0.000994383,0.000994383,0.000994383
26,1915.94,2.04498,2.66054,0.01403,0.3901,0.28824,0.24404,0.10101,2.02322,2.65917,0.02039,0.000993906,0.000993906,0.000993906
27,1987.98,2.02167,2.62808,0.01408,0.3985,0.29397,0.26295,0.11127,1.97878,2.53249,0.01954,0.00099341,0.00099341,0.00099341
28,2060.48,2.04263,2.59007,0.01378,0.35476,0.28733,0.25037,0.11132,1.99934,2.62908,0.01989,0.000992894,0.000992894,0.000992894
