epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2471,3.65125,6.32431,0.03691,0.00064,0.05398,8e-05,1e-05,3.81792,7.11384,0.04818,0.00331395,0.00331395,0.0701744
2,75.0662,3.56714,4.95264,0.03555,0.001,0.07865,0.00042,8e-05,3.47411,5.29321,0.04292,0.00663413,0.00663413,0.0401613
3,108.127,3.05906,4.2696,0.02974,0.0576,0.03561,0.00915,0.00253,2.9449,5.87503,0.03568,0.0099411,0.0099411,0.0101349
4,141.008,2.65061,3.74701,0.02302,0.1506,0.08182,0.02848,0.00763,2.61144,4.18498,0.03139,0.0099406,0.0099406,0.0099406
5,173.908,2.43375,3.48462,0.02069,0.25443,0.12125,0.07947,0.02765,2.294,3.57921,0.02506,0.0099208,0.0099208,0.0099208
6,206.866,2.29493,3.1788,0.01869,0.22322,0.17781,0.0999,0.03694,2.27321,3.35489,0.02493,0.009901,0.009901,0.009901
7,239.92,2.15154,2.74266,0.01652,0.39456,0.31903,0.25282,0.11179,2.0238,2.58583,0.02124,0.0098812,0.0098812,0.0098812
8,272.921,1.95951,2.29715,0.01502,0.49954,0.41015,0.39987,0.19729,1.94249,2.11654,0.02038,0.0098614,0.0098614,0.0098614
9,306.021,1.86958,1.95662,0.01349,0.56552,0.47112,0.4874,0.24583,1.746,1.8652,0.01685,0.0098416,0.0098416,0.0098416
10,339.128,1.78441,1.75753,0.01308,0.58431,0.51741,0.53984,0.2811,1.73036,1.70929,0.01652,0.0098218,0.0098218,0.0098218
11,372.377,1.73429,1.57837,0.01234,0.65523,0.51513,0.57636,0.30266,1.69742,1.57236,0.01671,0.009802,0.009802,0.009802
12,405.922,1.72314,1.5151,0.01162,0.63066,0.5647,0.60661,0.33194,1.66535,1.43224,0.01595,0.0097822,0.0097822,0.0097822
13,438.922,1.67694,1.40633,0.01157,0.65913,0.57756,0.62244,0.34399,1.59395,1.40692,0.01522,0.0097624,0.0097624,0.0097624
14,471.961,1.65869,1.34395,0.01085,0.70749,0.58594,0.65534,0.37253,1.55805,1.30771,0.01416,0.0097426,0.0097426,0.0097426
15,504.975,1.62761,1.29064,0.01091,0.72911,0.60553,0.66868,0.35869,1.65813,1.24992,0.01585,0.0097228,0.0097228,0.0097228
16,538.032,1.60847,1.24679,0.01087,0.73762,0.62085,0.69035,0.39476,1.54946,1.12735,0.0143,0.009703,0.009703,0.009703
17,571.108,1.58456,1.19261,0.01052,0.7261,0.62379,0.68785,0.38477,1.61024,1.16211,0.01499,0.0096832,0.0096832,0.0096832
18,604.201,1.6095,1.20417,0.01041,0.72444,0.65078,0.70699,0.39576,1.5758,1.10881,0.01442,0.0096634,0.0096634,0.0096634
19,637.349,1.54999,1.14751,0.01043,0.74986,0.62135,0.70624,0.39908,1.54456,1.12255,0.014,0.0096436,0.0096436,0.0096436
20,670.492,1.55933,1.10638,0.01,0.73035,0.62731,0.69765,0.39809,1.54492,1.14468,0.01377,0.0096238,0.0096238,0.0096238
21,703.558,1.55394,1.10041,0.01006,0.75405,0.64084,0.70614,0.40077,1.57641,1.13111,0.01373,0.009604,0.009604,0.009604
22,736.697,1.50157,1.07822,0.0098,0.77157,0.66312,0.73489,0.4222,1.56247,1.07031,0.01415,0.0095842,0.0095842,0.0095842
23,769.612,1.51579,1.06455,0.00937,0.75446,0.64171,0.72505,0.42119,1.51519,1.0174,0.01369,0.0095644,0.0095644,0.0095644
24,802.59,1.49792,1.06005,0.00961,0.74877,0.65805,0.72428,0.42378,1.52031,1.02354,0.01334,0.0095446,0.0095446,0.0095446
25,835.5,1.53243,1.04066,0.0094,0.78225,0.64634,0.72828,0.42369,1.49144,0.99456,0.01306,0.0095248,0.0095248,0.0095248
26,868.591,1.47418,1.00912,0.00951,0.78621,0.66625,0.75384,0.43271,1.52345,0.94464,0.0129,0.009505,0.009505,0.009505
27,901.648,1.45316,0.97928,0.00924,0.78308,0.66572,0.754,0.43866,1.48468,0.93305,0.01288,0.0094852,0.0094852,0.0094852
28,934.67,1.48688,0.97526,0.00903,0.76321,0.67179,0.74461,0.43292,1.47547,0.97042,0.0125,0.0094654,0.0094654,0.0094654
29,967.761,1.44324,0.95976,0.009,0.79899,0.67255,0.75863,0.45375,1.45796,0.91091,0.0128,0.0094456,0.0094456,0.0094456
30,1000.82,1.44766,0.9468,0.00912,0.78749,0.66563,0.75621,0.44556,1.44581,0.93906,0.01261,0.0094258,0.0094258,0.0094258
31,1033.82,1.43448,0.94583,0.00895,0.77363,0.6984,0.76107,0.45307,1.44912,0.88822,0.0123,0.009406,0.009406,0.009406
32,1067.07,1.44939,0.93124,0.00891,0.81687,0.68008,0.76767,0.45379,1.44981,0.93254,0.0126,0.0093862,0.0093862,0.0093862
33,1098.46,1.44576,0.92306,0.00881,0.82745,0.67174,0.77352,0.46842,1.41616,0.88989,0.01192,0.0093664,0.0093664,0.0093664
34,1129.63,1.44712,0.93594,0.00868,0.81515,0.68212,0.76915,0.45788,1.46075,0.87385,0.01235,0.0093466,0.0093466,0.0093466
35,1160.74,1.43309,0.91315,0.00836,0.80969,0.69971,0.77837,0.47065,1.41608,0.88735,0.01181,0.0093268,0.0093268,0.0093268
36,1191.81,1.43305,0.92193,0.00876,0.79147,0.70364,0.78212,0.46317,1.43456,0.84281,0.01201,0.009307,0.009307,0.009307
37,1223.1,1.42757,0.90816,0.00843,0.82835,0.69467,0.78008,0.46742,1.43245,0.84968,0.01191,0.0092872,0.0092872,0.0092872
38,1254.19,1.42136,0.89611,0.00846,0.82003,0.70624,0.78234,0.47384,1.39758,0.85008,0.01177,0.0092674,0.0092674,0.0092674
39,1285.39,1.41642,0.90338,0.00852,0.80099,0.71647,0.78678,0.47419,1.41758,0.82151,0.01191,0.0092476,0.0092476,0.0092476
40,1316.94,1.42701,0.91226,0.0084,0.82238,0.69227,0.77807,0.47358,1.41991,0.84354,0.01189,0.0092278,0.0092278,0.0092278
41,1348.19,1.42402,0.89252,0.00833,0.82634,0.71865,0.80077,0.4886,1.39146,0.8213,0.01152,0.009208,0.009208,0.009208
42,1379.21,1.36647,0.84309,0.00813,0.83448,0.7025,0.79004,0.47669,1.40732,0.81079,0.01153,0.0091882,0.0091882,0.0091882
43,1410.37,1.38378,0.86012,0.00852,0.82499,0.72434,0.80239,0.4957,1.36976,0.79286,0.01113,0.0091684,0.0091684,0.0091684
44,1441.85,1.39196,0.8496,0.00817,0.83165,0.69994,0.78828,0.47444,1.40978,0.81771,0.01159,0.0091486,0.0091486,0.0091486
45,1472.92,1.3726,0.8556,0.00806,0.80753,0.7043,0.77537,0.47439,1.41354,0.85194,0.01145,0.0091288,0.0091288,0.0091288
46,1504.15,1.36636,0.83299,0.00798,0.84374,0.71077,0.79973,0.49538,1.35025,0.80138,0.01097,0.009109,0.009109,0.009109
47,1535.34,1.35465,0.81446,0.00811,0.83877,0.71139,0.79051,0.48979,1.37926,0.80655,0.01128,0.0090892,0.0090892,0.0090892
48,1566.62,1.3494,0.828,0.00805,0.81752,0.71898,0.79867,0.49304,1.36241,0.80476,0.01098,0.0090694,0.0090694,0.0090694
