epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4076,2.01056,4.99386,0.01393,0.14669,0.04153,0.04196,0.0138,2.10543,5.1725,0.01962,0.00331361,0.00331361,0.0701775
2,57.3967,1.90839,3.897,0.01269,0.11362,0.09868,0.04833,0.01887,2.21334,4.63921,0.02184,0.00663378,0.00663378,0.0401644
3,83.042,1.98046,3.41982,0.01334,0.19883,0.17987,0.09722,0.035,2.14638,3.94565,0.02015,0.00994075,0.00994075,0.010138
4,108.72,1.97429,3.12757,0.01399,0.2981,0.22686,0.1627,0.06849,1.99072,3.28631,0.01884,0.0099406,0.0099406,0.0099406
5,133.878,1.97158,2.84278,0.01352,0.35483,0.26602,0.21443,0.08278,2.09128,3.18363,0.01949,0.0099208,0.0099208,0.0099208
6,163.993,1.9723,2.64946,0.01347,0.39156,0.31295,0.26568,0.11042,1.98044,2.73538,0.01814,0.009901,0.009901,0.009901
7,189.47,1.94995,2.4231,0.01255,0.41996,0.35141,0.31239,0.12961,1.98286,2.56728,0.01823,0.0098812,0.0098812,0.0098812
8,214.739,1.89902,2.32171,0.01296,0.4605,0.39641,0.3736,0.16966,1.89269,2.26169,0.01693,0.0098614,0.0098614,0.0098614
9,240.025,1.89524,2.21831,0.01274,0.49857,0.39631,0.41397,0.18334,1.89363,2.2374,0.01719,0.0098416,0.0098416,0.0098416
10,265.018,1.88451,2.09335,0.01245,0.55323,0.46299,0.4676,0.23521,1.8461,1.97572,0.01601,0.0098218,0.0098218,0.0098218
11,295.822,1.85624,2.05969,0.0124,0.55417,0.46672,0.46542,0.21644,1.86459,1.98059,0.01657,0.009802,0.009802,0.009802
12,326.699,1.86537,1.96286,0.01231,0.55942,0.45448,0.45878,0.20717,1.9719,2.06802,0.01773,0.0097822,0.0097822,0.0097822
13,357.559,1.82614,1.86919,0.01224,0.55588,0.48978,0.49161,0.23086,1.88377,1.7783,0.01683,0.0097624,0.0097624,0.0097624
14,389.736,1.82078,1.81464,0.01177,0.60434,0.49268,0.52601,0.25834,1.87084,1.83676,0.01648,0.0097426,0.0097426,0.0097426
15,424.639,1.82661,1.76618,0.01159,0.65419,0.55033,0.57289,0.28108,1.8009,1.65033,0.01574,0.0097228,0.0097228,0.0097228
16,459.124,1.83659,1.72465,0.01159,0.64908,0.52748,0.55051,0.27525,1.74739,1.69733,0.01519,0.009703,0.009703,0.009703
17,493.421,1.80071,1.73035,0.01142,0.72734,0.53562,0.60496,0.30719,1.78752,1.6354,0.0158,0.0096832,0.0096832,0.0096832
18,527.21,1.75784,1.59508,0.01122,0.67565,0.56911,0.62355,0.31531,1.77172,1.53181,0.01504,0.0096634,0.0096634,0.0096634
19,561.498,1.80964,1.61461,0.01152,0.70557,0.57088,0.62697,0.32732,1.765,1.44164,0.01542,0.0096436,0.0096436,0.0096436
20,595.648,1.781,1.56401,0.01089,0.69154,0.58057,0.63392,0.32416,1.7814,1.5109,0.01497,0.0096238,0.0096238,0.0096238
21,630.16,1.74109,1.54233,0.01141,0.71892,0.57737,0.63162,0.31641,1.78001,1.41345,0.01464,0.009604,0.009604,0.009604
22,662.702,1.73376,1.49783,0.01113,0.69923,0.57146,0.64593,0.33438,1.69288,1.47616,0.01445,0.0095842,0.0095842,0.0095842
23,693.979,1.71665,1.44611,0.011,0.72938,0.60657,0.65998,0.34357,1.74145,1.30203,0.01437,0.0095644,0.0095644,0.0095644
24,718.868,1.71536,1.48207,0.01082,0.72319,0.5601,0.64041,0.33865,1.66383,1.34595,0.01405,0.0095446,0.0095446,0.0095446
25,743.732,1.71417,1.43642,0.01074,0.72598,0.62004,0.67534,0.35913,1.70117,1.26293,0.01403,0.0095248,0.0095248,0.0095248
26,768.598,1.68798,1.41052,0.01054,0.73382,0.59051,0.66514,0.35151,1.71422,1.31742,0.01461,0.009505,0.009505,0.009505
27,793.58,1.69643,1.37649,0.01039,0.75354,0.61938,0.69089,0.3662,1.69341,1.22556,0.01431,0.0094852,0.0094852,0.0094852
28,818.414,1.70335,1.40389,0.01054,0.73832,0.62214,0.68305,0.36676,1.71043,1.19509,0.01441,0.0094654,0.0094654,0.0094654
29,843.379,1.68405,1.34637,0.01021,0.72364,0.60909,0.6656,0.3556,1.68454,1.22661,0.01376,0.0094456,0.0094456,0.0094456
30,868.22,1.63657,1.32046,0.01032,0.76665,0.63663,0.70132,0.38673,1.65464,1.19479,0.01442,0.0094258,0.0094258,0.0094258
