epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4265,0.93199,0.4228,0.00379,0.92652,0.83378,0.89506,0.63663,1.02273,0.52767,0.00646,0.00331361,0.00331361,0.0701775
2,65.0856,0.90953,0.41421,0.0039,0.91281,0.84363,0.89754,0.62559,1.06864,0.52446,0.00681,0.00663378,0.00663378,0.0401644
3,90.2216,0.96443,0.43767,0.00415,0.89799,0.82898,0.88466,0.59127,1.16575,0.573,0.00774,0.00994075,0.00994075,0.010138
4,116.642,1.0101,0.49544,0.00486,0.90168,0.8056,0.87074,0.59429,1.15187,0.60045,0.00758,0.0099406,0.0099406,0.0099406
5,141.852,1.05724,0.50981,0.00494,0.89155,0.81664,0.87521,0.58517,1.19904,0.59522,0.00844,0.0099208,0.0099208,0.0099208
6,167.38,1.08887,0.52321,0.0052,0.90141,0.80906,0.87627,0.59349,1.18204,0.57776,0.00809,0.009901,0.009901,0.009901
7,193.163,1.10731,0.52533,0.00495,0.88389,0.80913,0.87578,0.58789,1.20157,0.58038,0.00828,0.0098812,0.0098812,0.0098812
8,219.215,1.09653,0.55992,0.00558,0.89436,0.78627,0.86444,0.57458,1.24899,0.6104,0.0087,0.0098614,0.0098614,0.0098614
9,245.354,1.1205,0.54906,0.00554,0.89146,0.786,0.8608,0.56505,1.27978,0.64952,0.00908,0.0098416,0.0098416,0.0098416
10,270.047,1.1081,0.53534,0.00546,0.89193,0.80504,0.86087,0.57219,1.25881,0.71668,0.00866,0.0098218,0.0098218,0.0098218
11,295.204,1.11619,0.56199,0.0056,0.86232,0.71169,0.78997,0.50079,1.37403,0.89413,0.01067,0.009802,0.009802,0.009802
12,320.545,1.13259,0.57112,0.00573,0.88641,0.77835,0.86016,0.58055,1.19467,0.63916,0.00827,0.0097822,0.0097822,0.0097822
13,350.721,1.09926,0.55614,0.00549,0.88163,0.78187,0.85369,0.57602,1.23179,0.64211,0.00889,0.0097624,0.0097624,0.0097624
14,384.175,1.11101,0.53745,0.00542,0.88159,0.77259,0.84835,0.55852,1.24077,0.65011,0.00896,0.0097426,0.0097426,0.0097426
15,417.079,1.13535,0.57366,0.00552,0.88248,0.79057,0.85499,0.56891,1.23527,0.63812,0.00894,0.0097228,0.0097228,0.0097228
16,449.43,1.15293,0.5749,0.00551,0.89426,0.80477,0.86833,0.58221,1.23463,0.60991,0.00872,0.009703,0.009703,0.009703
17,479.556,1.1423,0.56959,0.00556,0.88339,0.8009,0.86693,0.57948,1.21084,0.60913,0.00859,0.0096832,0.0096832,0.0096832
18,504.586,1.11349,0.54967,0.00539,0.8819,0.80625,0.86387,0.57445,1.2393,0.62699,0.00863,0.0096634,0.0096634,0.0096634
19,529.625,1.1612,0.58231,0.00565,0.88783,0.80382,0.86736,0.57617,1.2197,0.63377,0.00858,0.0096436,0.0096436,0.0096436
20,554.71,1.14914,0.56847,0.00537,0.89315,0.78374,0.85181,0.56914,1.24545,0.62114,0.0084,0.0096238,0.0096238,0.0096238
21,579.81,1.11343,0.53563,0.00564,0.87971,0.78758,0.85599,0.57327,1.23448,0.61649,0.00882,0.009604,0.009604,0.009604
22,604.862,1.13287,0.55694,0.00567,0.8726,0.80263,0.85894,0.57213,1.21633,0.62257,0.00863,0.0095842,0.0095842,0.0095842
23,629.951,1.09669,0.54113,0.00545,0.87822,0.81071,0.86669,0.58547,1.19901,0.59414,0.0086,0.0095644,0.0095644,0.0095644
24,654.947,1.13665,0.5563,0.00573,0.90071,0.80559,0.87293,0.581,1.20986,0.593,0.0084,0.0095446,0.0095446,0.0095446
25,679.93,1.12776,0.55401,0.00558,0.89287,0.78521,0.85932,0.57636,1.23549,0.65022,0.00868,0.0095248,0.0095248,0.0095248
26,705.034,1.11377,0.5606,0.00559,0.87621,0.79477,0.8603,0.56581,1.26886,0.63118,0.00868,0.009505,0.009505,0.009505
27,730.248,1.12715,0.55958,0.00559,0.87062,0.81425,0.87205,0.58259,1.22381,0.58562,0.00862,0.0094852,0.0094852,0.0094852
28,755.257,1.13908,0.58283,0.00565,0.88964,0.80129,0.87405,0.58942,1.19492,0.56156,0.0083,0.0094654,0.0094654,0.0094654
29,780.301,1.13185,0.56084,0.00546,0.89212,0.79929,0.87156,0.58357,1.23454,0.61604,0.00854,0.0094456,0.0094456,0.0094456
30,805.288,1.11643,0.54711,0.00567,0.87473,0.80119,0.86219,0.57179,1.22243,0.60184,0.00858,0.0094258,0.0094258,0.0094258
31,830.432,1.16826,0.58009,0.00563,0.89245,0.79788,0.86429,0.57289,1.21884,0.6039,0.00847,0.009406,0.009406,0.009406
32,855.506,1.14829,0.56649,0.00556,0.88655,0.8099,0.87318,0.5828,1.22293,0.58891,0.00829,0.0093862,0.0093862,0.0093862
33,880.544,1.16038,0.57349,0.00565,0.88648,0.79669,0.86964,0.58316,1.20576,0.57931,0.00833,0.0093664,0.0093664,0.0093664
